 ,Label,Area,Mean,IntDen,RawIntDen
1,C3-ActiveImage:background,5.274,126.750,668.449,67938
2,C3-ActiveImage:0004-0538-0813,576.079,228.761,131784.173,13393928
3,C3-ActiveImage:0004-0328-0688,331.804,164.954,54732.335,5562739
4,C3-ActiveImage:0004-1079-0877,458.453,183.615,84178.769,8555537
