 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,0.817,269.578,220.150,22375.000
2,C1-ActiveImage:0004-0990-0918,348.973,2409.429,840825.955,85457624.000
3,C1-ActiveImage:0004-0848-0976,125.950,2954.832,372162.001,37824808.000
4,C1-ActiveImage:0004-0813-0880,109.696,2932.978,321736.298,32699775.000
