,Embryo,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,H2BRFP normCTCF,SMPD3FLAG normCTCF,ID,Readout
0,Emb2,20210824,0.6077848247675047,0.40690666310490387,0.6694913175243515,0.7743867329682785,0.518445194128311,20210824Emb2,BREH2Bd2EGFP
1,Emb3,20210824,1.0930729233120406,0.4981809126104437,0.45576182703432266,1.392698757004163,0.6347389300006475,20210824Emb3,BREH2Bd2EGFP
2,Emb4,20210824,1.1784894578080678,1.2009978501273397,1.019099358225178,1.5015291002348503,1.5302073424057647,20210824Emb4,BREH2Bd2EGFP
3,Emb5,20210824,0.7496209364252353,0.8385975021178634,1.1186954117329437,0.9551020102303743,1.068468236581631,20210824Emb5,BREH2Bd2EGFP
4,Emb6,20210824,0.2953296206267549,0.19768439606576296,0.6693686723540729,0.37628339956233353,0.25187231959391637,20210824Emb6,BREH2Bd2EGFP
0,Emb1,20210830,2.1607279204297654,2.5064186710037304,1.1599880981337103,1.2629471518165667,1.4650036646790854,20210830Emb1,BREH2Bd2EGFP
1,Emb3,20210830,1.2609954942386488,0.8825504001582066,0.6998838649229783,0.7370528481834332,0.5158513960391103,20210830Emb3,BREH2Bd2EGFP
