 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,A:CntlArea:c:1/5 - 20200120_NC11m3Dyn1K44A_Pax7;mRFP;Laminin;DAPI;BF_Em,45285.334,849.951,201,2067,38490317.025,46685261
2,A:ExptArea:c:1/5 - 20200120_NC11m3Dyn1K44A_Pax7;mRFP;Laminin;DAPI;BF_Em,34036.347,1081.412,281,2455,36807304.034,44643919
