 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,A:CntlArea:c:1/5 - 20200120_NC11m3Dyn1K44A_Pax7;mRFP;Laminin;DAPI;BF_Em,85683.246,677.051,208,2828,58011890.697,70363158
2,A:ExptArea:c:1/5 - 20200120_NC11m3Dyn1K44A_Pax7;mRFP;Laminin;DAPI;BF_Em,69123.062,755.267,226,2800,52206340.048,63321552
