 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,A:CntlArea:c:1/4 - 20200619_NC11m3Dyn1K44AmRFP_Pax7;Dyn1K44AmRFP;TCFLef,116333.519,560.569,209,1517,65213014.033,79097467
2,A:ExptArea:c:1/4 - 20200619_NC11m3Dyn1K44AmRFP_Pax7;Dyn1K44AmRFP;TCFLef,74778.885,702.874,244,1554,52560153.002,63750695
