 ,Label,Area,Mean,IntDen,RawIntDen
1,PMEGFP:background,4.398,131.024,576.181,10875.000
2,PMEGFP:0003-0319-0367,739.419,417.246,308519.605,5823087.000
3,PMEGFP:0001-0403-0472,714.358,352.959,252139.245,4758948.000
4,PMEGFP:0001-0364-0856,536.020,624.943,334982.276,6322551.000
5,PMEGFP:0001-0668-0522,428.149,374.991,160551.723,3030299.000
6,PMEGFP:0001-0758-0603,325.575,455.689,148360.957,2800207.000
7,PMEGFP:0001-0861-0548,390.584,443.054,173049.998,3266195.000
8,PMEGFP:0001-0869-0436,428.996,471.603,202315.795,3818566.000
9,PMEGFP:0001-0739-0911,363.722,313.455,114010.782,2151872.000
10,PMEGFP:0001-0569-0283,440.017,259.315,114103.129,2153615.000
11,Tf633:background,4.398,117.205,515.410,9728.000
12,Tf633:0003-0319-0367,739.419,219.504,162305.167,3063394.000
13,Tf633:0001-0403-0472,714.358,556.204,397328.532,7499292.000
14,Tf633:0001-0364-0856,536.020,1035.307,554945.362,10474197.000
15,Tf633:0001-0668-0522,428.149,276.620,118434.684,2235370.000
16,Tf633:0001-0758-0603,325.575,590.948,192398.068,3631376.000
17,Tf633:0001-0861-0548,390.584,528.244,206323.841,3894215.000
18,Tf633:0001-0869-0436,428.996,454.247,194870.215,3678036.000
19,Tf633:0001-0739-0911,363.722,498.136,181183.339,3419706.000
20,Tf633:0001-0569-0283,440.017,460.429,202596.229,3823859.000
