 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,41.120,5.723,0,17,235.333,4567
2,H2BRFP:background,29.990,6.046,0,18,181.331,3519
3,H2BRFP:background,54.260,5.859,0,17,317.934,6170
4,H2BRFP:Cntl,4460.299,86.825,0,1945,387266.466,7515504
5,H2BRFP:Expt,4326.118,65.038,0,1177,281362.348,5460271
6,BREGFP:background,41.120,5.711,0,21,234.818,4557
7,BREGFP:background,29.990,5.663,0,15,169.840,3296
8,BREGFP:background,54.260,5.720,0,17,310.359,6023
9,BREGFP:Cntl,4460.299,32.235,0,963,143776.960,2790214
10,BREGFP:Expt,4326.118,14.459,0,526,62550.187,1213883
