 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,26.898,5.312,0,17,142.890,2773.000
2,H2BRFP:background,43.284,5.506,0,18,238.322,4625.000
3,H2BRFP:background,47.613,5.539,0,15,263.725,5118.000
4,H2BRFP:Cntl,3808.097,46.997,0,1313,178969.262,3473175.000
5,H2BRFP:Expt,3849.835,55.347,0,548,213076.158,4135072.000
6,BREGFP:background,26.898,5.594,0,18,150.465,2920.000
7,BREGFP:background,43.284,5.452,0,14,236.003,4580.000
8,BREGFP:background,47.613,5.697,0,17,271.249,5264.000
9,BREGFP:Cntl,3808.097,103.307,0,4507,393401.664,7634567.000
10,BREGFP:Expt,3849.835,72.579,0,1362,279416.355,5422506.000
