 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,47.922,5.856,0,18,280.627,5446
2,H2BRFP:background,76.057,5.914,0,17,449.797,8729
3,H2BRFP:background,56.733,5.911,0,18,335.351,6508
4,H2BRFP:Cntl,4981.876,177.673,0,2031,885144.792,17177602
5,H2BRFP:Expt,6641.368,117.243,0,2939,778657.159,15111045
6,BREGFP:background,47.922,5.868,0,18,281.194,5457
7,BREGFP:background,76.057,5.780,0,21,439.645,8532
8,BREGFP:background,56.733,5.686,0,18,322.572,6260
9,BREGFP:Cntl,4981.876,99.438,0,2359,495388.444,9613778
10,BREGFP:Expt,6641.368,45.254,0,2359,300551.287,5832662
