 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,26.434,5.780,0,18,152.784,2965
2,H2BRFP:background,35.246,5.715,0,19,201.427,3909
3,H2BRFP:background,22.415,5.943,0,18,133.202,2585
4,H2BRFP:Cntl,3600.177,169.869,0,3256,611560.232,11868271
5,H2BRFP:Expt,3106.426,189.822,0,1974,589666.587,11443391
6,BREGFP:background,26.434,6.277,0,22,165.923,3220
7,BREGFP:background,35.246,6.034,0,18,212.660,4127
8,BREGFP:background,22.415,6.087,0,17,136.449,2648
9,BREGFP:Cntl,3600.177,123.712,0,2259,445385.416,8643392
10,BREGFP:Expt,3106.426,79.897,0,1904,248194.723,4816602
