 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,27.516,5.991,0,17,164.841,3199
2,H2BRFP:background,37.719,5.941,0,16,224.100,4349
3,H2BRFP:background,69.873,5.964,0,20,416.715,8087
4,H2BRFP:Cntl,3003.471,132.169,0,3097,396966.390,7703746
5,H2BRFP:Expt,3394.113,209.863,0,4319,712297.381,13823231
6,BREGFP:background,27.516,6.416,1,16,176.538,3426
7,BREGFP:background,37.719,6.602,0,18,249.040,4833
8,BREGFP:background,69.873,6.178,0,21,431.710,8378
9,BREGFP:Cntl,3003.471,88.620,0,1849,266168.247,5165406
10,BREGFP:Expt,3394.113,79.512,0,3902,269873.698,5237316
