 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,27.207,6.653,0,19,181.021,3513
2,H2BRFP:background,32.463,6.589,0,19,213.897,4151
3,H2BRFP:background,47.304,6.637,0,21,313.966,6093
4,H2BRFP:Cntl,6470.704,148.945,0,3649,963782.180,18703682
5,H2BRFP:Expt,6088.719,129.391,0,2318,787822.418,15288911
6,BREGFP:background,27.207,6.818,1,20,185.504,3600
7,BREGFP:background,32.463,6.538,0,18,212.248,4119
8,BREGFP:background,47.304,6.690,0,23,316.440,6141
9,BREGFP:Cntl,6470.704,229.019,0,6612,1481911.354,28758779
10,BREGFP:Expt,6088.719,109.295,0,2599,665463.954,12914356
