 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,42.975,6.620,0,21,284.492,5521.000
2,H2BRFP:background,32.772,6.704,0,18,219.720,4264.000
3,H2BRFP:background,15.459,6.420,0,19,99.245,1926.000
4,H2BRFP:Cntl,3989.891,285.085,0,2921,1137457.198,22074114.000
5,H2BRFP:Expt,3680.408,290.256,0,3880,1068259.614,20731228.000
6,BREGFP:background,42.975,6.881,0,23,295.725,5739.000
7,BREGFP:background,32.772,6.557,0,19,214.876,4170.000
8,BREGFP:background,15.459,6.267,1,17,96.875,1880.000
9,BREGFP:Cntl,3989.891,331.192,0,6649,1321418.436,25644166.000
10,BREGFP:Expt,3680.408,177.693,0,2961,653981.488,12691521.000
