 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,36.792,5.388,0,16,198.232,3847.000
2,H2BRFP:background,57.197,5.507,0,19,314.997,6113.000
3,H2BRFP:background,56.579,5.421,0,17,306.701,5952.000
4,H2BRFP:Cntl,3686.128,35.205,0,606,129769.263,2518373.000
5,H2BRFP:Expt,3270.598,62.142,0,1012,203240.920,3944204.000
6,BREGFP:background,36.792,5.518,0,18,203.024,3940.000
7,BREGFP:background,57.197,5.595,0,19,319.995,6210.000
8,BREGFP:background,56.579,5.549,0,17,313.966,6093.000
9,BREGFP:Cntl,3686.128,114.643,0,1618,422590.219,8201016.000
10,BREGFP:Expt,3270.598,178.742,0,2938,584594.380,11344957.000
