 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,34.782,5.671,0,16,197.253,3828
2,H2BRFP:background,31.381,5.594,0,17,175.559,3407
3,H2BRFP:background,32.927,5.642,0,16,185.762,3605
4,H2BRFP:Cntl,7498.707,165.463,0,1919,1240759.049,24078846
5,H2BRFP:Expt,5915.118,152.616,0,2350,902741.742,17519098
6,BREGFP:background,34.782,5.818,0,19,202.354,3927
7,BREGFP:background,31.381,5.811,0,17,182.361,3539
8,BREGFP:background,32.927,5.919,0,17,194.883,3782
9,BREGFP:Cntl,7498.707,111.683,0,2496,837477.367,16252542
10,BREGFP:Expt,5915.118,52.414,0,1187,310037.005,6016747
