 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,40.811,5.818,0,16,237.446,4608.000
2,H2BRFP:background,32.927,5.710,0,18,188.029,3649.000
3,H2BRFP:background,32.463,5.840,0,17,189.575,3679.000
4,H2BRFP:Cntl,6198.012,127.201,0,1830,788395.111,15300025.000
5,H2BRFP:Expt,6392.483,135.789,0,1904,868026.288,16845391.000
6,BREGFP:background,40.811,5.946,0,17,242.650,4709.000
7,BREGFP:background,32.927,5.775,0,18,190.142,3690.000
8,BREGFP:background,32.463,5.892,0,16,191.276,3712.000
9,BREGFP:Cntl,6198.012,39.757,0,540,246417.333,4782109.000
10,BREGFP:Expt,6392.483,15.789,0,124,100931.929,1958740.000
