 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,29.526,5.222,0,13,154.175,2992
2,H2BRFP:background,40.347,5.324,0,15,214.824,4169
3,H2BRFP:background,59.671,5.242,0,16,312.781,6070
4,H2BRFP:Cntl,3422.402,44.695,0,1404,152965.458,2968531
5,H2BRFP:Expt,3995.456,66.228,0,1065,264610.474,5135175
6,BREGFP:background,29.526,5.572,0,18,164.532,3193
7,BREGFP:background,40.347,5.640,0,16,227.552,4416
8,BREGFP:background,59.671,5.608,0,18,334.629,6494
9,BREGFP:Cntl,3422.402,89.092,0,1019,304908.632,5917223
10,BREGFP:Expt,3995.456,181.659,0,3910,725809.112,14085447
