 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,21.642,5.548,0,16,120.063,2330
2,H2BRFP:background,41.120,5.492,0,15,225.852,4383
3,H2BRFP:background,70.492,5.285,0,15,372.555,7230
4,H2BRFP:Cntl,6842.949,190.284,0,2335,1302102.736,25269315
5,H2BRFP:Expt,6301.585,167.968,0,2319,1058462.713,20541104
6,BREGFP:background,21.642,5.667,0,16,122.639,2380
7,BREGFP:background,41.120,5.927,0,18,243.732,4730
8,BREGFP:background,70.492,5.744,0,17,404.915,7858
9,BREGFP:Cntl,6842.949,102.976,0,3903,704661.401,13675043
10,BREGFP:Expt,6301.585,87.403,0,4546,550780.272,10688742
