,Date,Embryo,Treatment,FOV,ROI,Area,H2BRFP Mean,H2BRFP LRP6 IntDen,H2BRFP CTCF,Surface LRP6 Mean,Surface LRP6 IntDen,Surface LRP6 CTCF,Internal LRP6 Mean,Internal LRP6 IntDen,Internal LRP6 CTCF,Total LRP6 CTCF,Internalized Fraction CTCF,Total LRP6 Mean,Internalized Fraction Mean,Total LRP6 IntDen,Internalized Fraction IntDen,Internal / RFP,Norm
0,20210807,Emb8,SMPD3MO,FOV5,0004-0414-0767,335.24800000000005,1493.1229999999998,500565.833,407192.895288,343.962,115312.489,90531.962584,435.23400000000004,145911.18,40381.14406399998,130913.10664799997,0.3084576105322828,779.196,0.5585680624643864,261223.669,0.5585679910192212,0.29149239546909406,0.0003740938037016284
1,20210807,Emb4,ControlMO,FOV4,0004-0348-0333,245.85,2259.7329999999997,555554.33,484692.24694999994,300.02,73759.715,54106.9577,487.152,119766.147,43897.082850000006,98004.04055,0.44791094942258486,787.172,0.6188634758350144,193525.862,0.6188637826607382,0.21557945120065072,0.0002738657513232822
2,20210807,Emb4,ControlMO,FOV4,0004-0418-0276,193.201,905.623,174966.81399999998,119279.910167,230.33700000000002,44501.198,29057.096461999994,486.986,94085.924,34464.288601,63521.385062999994,0.5425619823437193,717.323,0.6788936085975216,138587.122,0.6788936998056717,0.5377359011420867,0.0007496426312025219
3,20210807,Emb4,ControlMO,FOV4,0004-0396-0111,233.718,1164.925,272263.777,204898.53670599998,253.47099999999998,59240.827000000005,40557.87751600001,435.68699999999995,101827.927,29702.78591800001,70260.66343400002,0.42275128736724193,689.1579999999999,0.632201904352848,161068.75400000002,0.6322016186950822,0.3740043350430285,0.0005426975164520016
4,20210807,Emb4,ControlMO,FOV4,0004-0508-0533,363.92900000000003,979.071,356311.745,251415.397543,152.672,55561.87,26470.113598,345.01099999999997,125559.43800000001,13251.312529000003,39721.426127,0.3336061622418093,497.683,0.6932344484340432,181121.30800000002,0.693233940205423,0.35238608844506675,0.0007080532958631633
5,20210807,Emb4,ControlMO,FOV4,0004-0693-0457,158.951,2181.288,346717.099,300902.17541699996,398.608,63358.981,50652.755961999996,533.251,84760.525,35708.405351,86361.16131299999,0.4134775958093189,931.8589999999999,0.5722442987619372,148119.506,0.572244178292088,0.24446611359893786,0.0002623423861323847
6,20210807,Emb4,ControlMO,FOV4,0004-0307-0782,127.052,1258.567,159903.745,123283.16588399999,303.98,38621.402,28465.119224000002,663.799,84337.129,45129.008852,73594.128076,0.6132148043848781,967.779,0.6858993633877155,122958.531,0.6858989637734042,0.5274244438317547,0.0005449843857241732
7,20210807,Emb4,ControlMO,FOV4,0004-0878-0645,289.466,2714.772,785834.832,702401.178422,236.826,68553.258,45413.924891999995,436.352,126309.226,36980.307866,82394.232758,0.4488215573851488,673.178,0.6481970593216059,194862.484,0.6481967354988659,0.16073246666755073,0.0002387666659747507
8,20210807,Emb4,ControlMO,FOV4,0004-0862-0433,245.515,2701.5840000000003,663279.339,592513.814005,354.63,87067.007,67441.02893,463.952,113907.19099999999,38141.507515000005,105582.536445,0.36124825941142885,818.582,0.5667752283827399,200974.19799999997,0.566775198675006,0.17173332385741105,0.0002097936722984515
9,20210807,Emb3,SMPD3MO,FOV11,0004-0641-0153,462.408,2930.344,1355014.699,1223595.570952,267.413,123654.038,89567.169872,495.517,229131.01,80276.325904,169843.495776,0.4726488084646664,762.9300000000001,0.6494920897067883,352785.048,0.6494918401417058,0.1690985768223799,0.00022164363286589843
10,20210807,Emb3,SMPD3MO,FOV11,0004-0723-1089,418.83099999999996,2732.3540000000003,1144393.767,1025359.483814,233.899,97964.211,67089.665004,451.85,189248.81600000002,54422.09112800003,121511.75613200002,0.44787510986904433,685.749,0.6589145591171114,287213.027,0.6589144579434415,0.1653702265519036,0.00024115270536581693
11,20210807,Emb3,SMPD3MO,FOV11,0004-0459-0937,315.186,1249.49,393821.37799999997,304243.62568399997,270.323,85202.025,61967.77382399999,448.093,141232.364,39770.20836799999,101737.98219199998,0.3909081693103135,718.4159999999999,0.6237235807665754,226434.389,0.6237231218443591,0.3586207172526391,0.0004991825310859434
12,20210807,Emb3,SMPD3MO,FOV11,0004-1036-0316,272.878,5874.298000000001,1602964.096,1525410.531132,238.831,65171.717000000004,45056.242352,547.201,149318.755,61476.052264,106532.294616,0.5770649405947083,786.032,0.6961561361369512,214490.472,0.6961556548768283,0.09315172638500804,0.00011850882201361782
13,20210807,Emb3,SMPD3MO,FOV11,0004-0919-0262,226.752,5516.696999999999,1250921.251,1186476.972088,178.917,40569.77,23854.519567999992,419.06300000000005,95023.265,22029.075175999984,45883.59474399997,0.4801078751328795,597.98,0.7007976855413225,135593.035,0.7007975372776337,0.07596266389109282,0.00012703211460432257
14,20210807,Emb3,SMPD3MO,FOV11,0004-0975-0557,252.28400000000002,4156.873,1048713.791,977013.1644959999,162.155,40909.199,22311.831656,389.834,98348.881,17135.633991999974,39447.46564799997,0.4343912520237855,551.989,0.7062350880180583,139258.08,0.7062346472104168,0.0937805893997724,0.00016989575770490423
15,20210807,Emb8,ControlMO,FOV6,0004-0204-0626,137.295,2413.401,331347.414,294588.187995,818.329,112352.239,98785.433575,770.47,105781.51199999999,62305.26541499999,161090.69899,0.3867713394108973,1588.799,0.48493862345079525,218133.751,0.48493876584921514,0.3192465736112648,0.00020093578458399382
