 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,77.139,9.692,0,31,747.634,14509.000
2,Cad6B:background,50.395,9.857,0,27,496.740,9640.000
3,Cad6B:background,37.101,9.549,0,27,354.262,6875.000
4,Cad6B:Cntl,3252.356,40.052,0,923,130261.828,2527932.000
5,Cad6B:Expt,3012.901,46.177,0,1610,139126.106,2699957.000
6,Snai2:background,77.139,49.787,4,110,3840.508,74531.000
7,Snai2:background,50.395,50.021,2,105,2520.851,48921.000
8,Snai2:background,37.101,50.556,3,109,1875.656,36400.000
9,Snai2:Cntl,3252.356,453.849,1,4061,1476077.498,28645564.000
10,Snai2:Expt,3012.901,272.924,0,2488,822292.851,15957863.000
