 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,50.705,9.494,0,30,481.384,9342
2,Cad6B:background,39.574,9.641,0,33,381.521,7404
3,Cad6B:background,27.516,9.740,0,30,268.002,5201
4,Cad6B:Cntl,2079.762,52.680,0,1220,109562.162,2126223
5,Cad6B:Expt,2960.445,51.763,0,8296,153240.932,2973877
6,Snai2:background,50.705,68.895,3,152,3493.306,67793
7,Snai2:background,39.574,71.033,4,160,2811.062,54553
8,Snai2:background,27.516,71.841,7,154,1976.807,38363
9,Snai2:Cntl,2079.762,465.785,1,2607,968722.369,18799554
10,Snai2:Expt,2960.445,346.084,4,2132,1024563.325,19883234
