 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,28.753,10.686,1,35,307.267,5963
2,Cad6B:background,42.821,11.013,1,29,471.593,9152
3,Cad6B:background,57.970,10.942,0,32,634.322,12310
4,Cad6B:Cntl,3419.723,160.207,0,4086,547864.813,10632163
5,Cad6B:Expt,2901.547,142.924,0,7734,414700.664,8047907
6,Snai2:background,28.753,16.475,2,45,473.706,9193
7,Snai2:background,42.821,16.857,1,47,721.818,14008
8,Snai2:background,57.970,16.041,0,48,929.892,18046
9,Snai2:Cntl,3419.723,238.071,0,3208,814136.736,15799581
10,Snai2:Expt,2901.547,173.240,0,1809,502664.082,9754973
