 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,38.647,9.285,1,30,358.848,6964.000
2,Cad6B:background,74.820,9.747,0,31,729.290,14153.000
3,Cad6B:background,33.391,9.532,0,29,318.295,6177.000
4,Cad6B:Cntl,3200.467,54.473,0,6218,174339.999,3383337.000
5,Cad6B:Expt,2291.495,80.158,0,1511,183681.848,3564630.000
6,Snai2:background,38.647,13.933,0,36,538.478,10450.000
7,Snai2:background,74.820,13.935,1,43,1042.586,20233.000
8,Snai2:background,33.391,13.573,0,37,453.198,8795.000
9,Snai2:Cntl,3200.467,408.475,1,3199,1307311.906,25370407.000
10,Snai2:Expt,2291.495,254.839,0,1851,583962.841,11332701.000
