 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,10.048,9.877,1,26,99.245,1926
2,Cad6B:background,17.520,9.338,0,26,163.605,3175
3,Cad6B:background,14.840,9.538,1,28,141.550,2747
4,Cad6B:Cntl,2874.391,34.530,0,1489,99251.826,1926135
5,Cad6B:Expt,3157.285,43.144,0,763,136218.324,2643527
6,Snai2:background,10.048,124.974,36,207,1255.762,24370
7,Snai2:background,17.520,127.115,40,219,2227.032,43219
8,Snai2:background,14.840,125.587,41,221,1863.753,36169
9,Snai2:Cntl,2874.391,611.916,14,3047,1758886.368,34133907
10,Snai2:Expt,3157.285,497.315,5,2454,1570163.953,30471457
