 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,7.678,9.235,1,24,70.904,1376.000
2,Cad6B:background,3.143,10.754,2,25,33.803,656.000
3,Cad6B:background,10.512,9.603,1,22,100.945,1959.000
4,Cad6B:Cntl,2105.578,69.397,0,8658,146120.757,2835699.000
5,Cad6B:Expt,3313.882,45.033,0,2951,149235.324,2896142.000
6,Snai2:background,7.678,19.114,1,41,146.755,2848.000
7,Snai2:background,3.143,18.115,3,36,56.940,1105.000
8,Snai2:background,10.512,19.201,2,46,201.839,3917.000
9,Snai2:Cntl,2105.578,646.610,1,3689,1361488.990,26421797.000
10,Snai2:Expt,3313.882,203.625,0,2116,674789.210,13095327.000
