 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,10.667,10.691,0,33,114.034,2213
2,Cad6B:background,28.444,11.038,1,30,313.966,6093
3,Cad6B:background,45.139,10.838,1,36,489.216,9494
4,Cad6B:Cntl,2872.381,63.769,0,1180,183170.319,3554703
5,Cad6B:Expt,2934.886,58.111,0,1059,170548.547,3309758
6,Snai2:background,10.667,20.681,1,53,220.596,4281
7,Snai2:background,28.444,20.674,1,53,588.049,11412
8,Snai2:background,45.139,20.889,1,51,942.929,18299
9,Snai2:Cntl,2872.381,376.730,1,2258,1082113.137,21000077
10,Snai2:Expt,2934.886,251.279,1,1944,737475.949,14311860
