 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,24.425,10.819,1,30,264.241,5128
2,Cad6B:background,54.415,11.265,1,30,612.989,11896
3,Cad6B:background,44.985,10.847,1,34,487.928,9469
4,Cad6B:Cntl,2120.934,56.144,0,3525,119078.642,2310905
5,Cad6B:Expt,2273.821,63.314,0,3441,143965.041,2793864
6,Snai2:background,24.425,11.753,1,31,287.068,5571
7,Snai2:background,54.415,12.001,0,35,653.027,12673
8,Snai2:background,44.985,12.071,1,36,543.013,10538
9,Snai2:Cntl,2120.934,382.769,0,2917,811826.742,15754752
10,Snai2:Expt,2273.821,357.239,0,3007,812296.687,15763872
