 ,Label,Area,Mean,IntDen,RawIntDen
1,TCF/Lef:background:c:3/4 z:6/10 - 20200817_TCF-Lef-d2EGFP_Dyn1-KA-RFP_sections_,7.238,736.000,5327.230,30912
2,TCF/Lef:background:c:3/4 z:6/10 - 20200817_TCF-Lef-d2EGFP_Dyn1-KA-RFP_sections_,1.723,782.500,1348.524,7825
3,TCF/Lef:background:c:3/4 z:6/10 - 20200817_TCF-Lef-d2EGFP_Dyn1-KA-RFP_sections_,37.914,734.809,27859.386,161658
4,TCF/Lef:Expt:c:3/4 z:6/10 - 20200817_TCF-Lef-d2EGFP_Dyn1-KA-RFP_sections_,1938.428,3271.463,6341494.312,36797412
5,TCF/Lef:Cntl:c:3/4 z:6/10 - 20200817_TCF-Lef-d2EGFP_Dyn1-KA-RFP_sections_,2809.583,3573.869,10041080.705,58264782
