,Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,Image,ROI,Condition,Tissue,ExptDate,Treatment,Dose,Stains,Embryo,Somites,Section
0,0,0,0.0,,0.0,,,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec3,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec3
1,1,13,215.03099999999998,16.541,5.2139999999999995,255.0,4217.906,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec3,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec3
0,0,1,13.707,13.707,0.44299999999999995,255.0,3495.212,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec2,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec2
1,1,7,87.90799999999999,12.558,1.945,255.0,3202.38,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec2,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec2
0,0,2,45.964,22.982,1.371,255.0,5860.393,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec4,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec4
1,1,4,39.162,9.791,1.391,255.0,2496.58,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_6ss_sec4,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,6ss,sec4
0,0,6,1332.128,222.021,46.082,255.0,56615.427,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec4,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec4
1,1,7,1180.272,168.61,41.181000000000004,255.0,42995.614,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec4,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec4
0,0,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec3,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec3
1,1,1,9.481,9.481,0.434,255.0,2417.741,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec3,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec3
0,0,4,43.43899999999999,10.86,1.8730000000000002,255.0,2769.2329999999997,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec2,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec2
1,1,9,125.11200000000001,13.901,5.263,255.0,3544.8520000000003,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec2,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec2
0,0,13,717.49,55.192,17.059,255.0,14073.838,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec3,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec3
1,1,13,867.285,66.714,18.012,255.0,17012.122,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec3,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec3
0,0,1,16.592,16.592,0.872,255.0,4231.045999999999,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec1,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec1
1,1,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb5_6ss_sec1,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb5,6ss,sec1
0,0,9,213.53599999999997,23.726,7.626,255.0,6050.191999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec2,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec2
1,1,12,212.403,17.7,5.254,255.0,4513.554,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_6ss_sec2,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,6ss,sec2
0,0,1,6.287000000000001,6.287000000000001,0.146,255.0,1603.067,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec2,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec2
1,1,3,36.843,12.280999999999999,0.8079999999999999,255.0,3131.675,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec2,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec2
0,0,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec3,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec3
1,1,1,18.602,18.602,0.35200000000000004,255.0,4743.502,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec3,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec3
0,0,1,5.101,5.101,0.131,255.0,1300.85,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec4,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec4
1,1,2,21.590999999999998,10.795,0.36200000000000004,255.0,2752.808,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb1_7ss_sec4,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb1,7ss,sec4
