 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,126.761,36.524,33,41,4629.778,22462.000
2,Cad6B:background,163.244,36.466,33,41,5952.836,28881.000
3,Cad6B:background,134.182,36.914,33,41,4953.174,24031.000
4,Cad6B:Cntl,14968.968,103.284,49,622,1546054.268,7500894.000
5,Cad6B:Expt,16932.842,91.275,49,447,1545545.986,7498428.000
6,Snai2:background,126.761,26.837,24,31,3401.945,16505.000
7,Snai2:background,163.244,26.764,24,31,4369.041,21197.000
8,Snai2:background,134.182,27.200,25,32,3649.696,17707.000
9,Snai2:Cntl,14968.968,302.195,81,1070,4523543.344,21946590.000
10,Snai2:Expt,16932.842,200.643,66,723,3397456.816,16483227.000
