Gene_ID,PSM_Rep1,PSM_Rep2,PSM_Rep3,ES_Rep1,ES_Rep2,ES_Rep3,MS_Rep1,MS_Rep2,MS_Rep3,DS_Rep1,DS_Rep2,DS_Rep3
ENSGALG00000006008,232,248.724,288.734,170,167,229.733,251.7,265.708,235.693,246,311,377.441
ENSGALG00000006009,256.923,299.067,298.765,154.796,185.243,126.225,181.627,121.492,145.999,159.047,107.391,128.04
ENSGALG00000006010,1500.9366,1881.04214,1838.397701,1815.4788,2308.3316,2407.201714,2452.7688,2293.58884,2042.33247,1536.3346,2295.3073,2466.47668
ENSGALG00000006011,410.765,389.908,431.697,401.818,475.831,561.385,521.765,460.273,524.345,328.427,505.678,499.247
ENSGALG00000006013,816.4157011,743.5127,785.3433,933.3,755.8216,1017.2278,1065.1651,786.0354248,936.7287021,1060.9905,977.014,1100.5497
ENSGALG00000006015,4031.2685,4132.3436,4050.7419,4078.6627,4682.1387,5216.515,5047.2576,4881.0379,5060.2072,3829.5675,4813.445,5056.7255
ENSGALG00000006016,675.484,722.267,716.17,667.289,769.327,824.274,786.923,841.546,883.768,720.979,771.032,832.954
ENSGALG00000006017,190.6200777,207.493,244.468,203.8831773,245.422,264.775248,266.514,304.926,305.821,365.816,379.0585,419.87
ENSGALG00000006018,5.61101,0,0,3,0,0,0,0,1,0,0,0
ENSGALG00000006019,0,3.51709,0,4.49102,4.92941,8.19105,7.56718,7.55935,1.3375,7.66675,4.79851,10.443
ENSGALG00000006020,1525.08,1747.9262,1628.51,1670.14,1901.17991,2085.51051,2145.66236,1945.36,2075.7,1634.45857,1968.74433,2209.43249
ENSGALG00000006022,3924.28427,3978.35284,3919.3492,4239.59997,4080.63139,5032.57179,4262.11533,3706.06383,4356.45684,3784.64844,3934.11964,4075.19939
ENSGALG00000006025,60.6066,33.6012,7.71462,75.4705,1.5343,1.74197,4.57577,0,2.26336,38.1589,9.24809,42.7913
ENSGALG00000006027,46.8197,44.7325,39,16,31,28.859,44.9167,37,33.7653,29,46.8212,50.6552
ENSGALG00000006031,2,1,0,0,0,0,0,0,0,0,1,0
ENSGALG00000006033,1085,1058.7415,973.9998,1101.095,1187.001,1333.595,1273.999,1152.998,1362.558,945.2556,1249,1258.037
ENSGALG00000006034,45.7912,65.8972,55.1287,46.4784,54.3607,72.8803,87.701,79.2972,85.8578,74.3196,85.4894,109.8013
ENSGALG00000006035,719,695,818,753.169,754,996,848,865,944,740,899,989.801
ENSGALG00000006036,491.529,563.732,537.701,532.40438,548.07,659.66517,703.432,564.273,557.869,484.256,730.535,809.691
ENSGALG00000006037,3808.067,3409.805,3435.49,3628.512,3611.87,4339.91,3761.27,4353.6,4697.56,3295.191,3583.93,3802.75
ENSGALG00000006038,1427.2834,943.213,622.0003,1301.004,739.9997,774.269,1037.3837,954.583,715,571.9999,978,1207.35
ENSGALG00000006040,78.4726,68.8924,59.2046,80.1609,62.819,66.3353,99.6441,44.15236,77.06618,93.7677,86.0335,83.12545
ENSGALG00000006041,236.421,344.793,298.004,863.729,894.572,1208.47,1372.04,761.148,803.996,687.578,989.39,968.819
ENSGALG00000006043,2475.7212,2358.838,2877.8599,2144.233722,3096.8605,3164.196252,3261.11954,3399.9002,3167.7821,2186.3379,3162.82062,3788.960533
ENSGALG00000006044,2,2,0,2,0,1,0,0,0,0,0,2
ENSGALG00000006045,108,113,55,104.084,104,125,137.138,123,130,117,159,178
ENSGALG00000006047,1200.19,1109.58,945.541,996.306,975.852,970.062,1057.64,944.232,1073.08,988.108,970.619,1068.64
ENSGALG00000006048,170,131,177,199,194,285,255,233,271,192,236,249
ENSGALG00000006049,3359.92,3237.18,2999.25,3128.19,3190.66,3539.8,3476.4,3041.54,3032.62,2104.99,3289.02,3391.1
ENSGALG00000006050,4.07233,0,0,4.17795,4.08507,0,0,4.07647,0,0,0,0
ENSGALG00000006051,926.787,929.965,925.145,980.35,1100.71,1087.6,1049.9,1024.95,1108.41,819.955,966.78,1063.47
ENSGALG00000006052,1156.19,1263.72,1330.64,1094.38,1436.05,1515.99616,1405.25,1397,1479,1123.32,1324.3559,1425.985
ENSGALG00000006053,3.93812,19.0296,5.681,11.7644,5.34259,5.92567,10.3682,6.42546,2.88033,9.1498,6.91692,6.84872
ENSGALG00000006054,15,30.62316,33.99999,25.99995,53.00004,56.04546,91.00586,58,43,29.00002,56,29.94254
ENSGALG00000006056,1101.19676,975.20552,1047.73169,1171.60145,1073.32555,1358.1596,1113.57503,1024.161,1166.55036,1078.70128,1086.62102,1154.71913
ENSGALG00000006057,672.766,588.717,465.147,771.299,618.413,660.222,604.547,464.291,806.28,666.438,612.88,556.484
ENSGALG00000006061,1320.48,1244.53,1152.7,1336.73347,1356.52,1606.87,1388.64,1261.9,1348.44885,1238.71,1254.70176,1408.69
ENSGALG00000006062,469.569,578.367,422.151,462.27,604.436,555.146,701.845,562.15,542.16,630.055,643.327,719.939
ENSGALG00000006064,44.323,55.5838,60.006,35.3161,67.2423,72.8278,85.4164,95.5716,57.2756,45.8334,64.2451,92.9322
