"","Gene id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ES_Rep1","ES_Rep2","ES_Rep3","MS_Rep1","MS_Rep2","MS_Rep3"
"34","ENSGALG00000012362",296.305325956042,-1.05819649308847,0.207398489181724,-5.10223819500091,3.35659909134209e-07,0.000143664904736168,411.134718507941,461.449343624566,328.731234995072,155.031340210524,205.050725865009,216.434592533139
"35","ENSGALG00000038678",680.780777240705,0.979045890700502,0.193367849701767,5.06312653427388,4.12435908285987e-07,0.000170041433044766,331.221064782612,474.267380947471,568.299751457233,866.237613426305,989.316904173446,855.341948657163
"36","ENSGALG00000029439",323.547411538969,-1.10497442653445,0.219054828948992,-5.04428243757982,4.55226464868076e-07,0.00018246994133462,480.533417795726,417.654382771309,426.900288733326,260.646440728944,207.164650873927,148.38528833058
"37","ENSGALG00000014908",747.17547565155,1.21773754327146,0.242975352342963,5.01177395784822,5.39305334993733e-07,0.000210329080647556,302.830687801245,474.267380947471,570.101018498302,780.0014304342,1247.2157552614,1108.63658096669
"38","ENSGALG00000035099",3686.17601834764,0.569209731325843,0.114090967947063,4.98908670482968,6.06654157465755e-07,0.000230368934006075,2524.64056045413,3153.23718143454,3226.06927055437,4033.72168310258,4603.07170691812,4576.31570762208
"39","ENSGALG00000003015",585.855635088387,1.38104799805671,0.277369292660959,4.97909478301489,6.38823537090073e-07,0.000236364708723327,221.865538632162,247.815388242823,504.354771499288,768.374079918411,907.930791330118,864.793240907519
"40","ENSGALG00000030076",157.435671845714,-1.14661035142759,0.231497863322237,-4.95300619613733,7.30756469265806e-07,0.00026362039628764,228.174511294688,233.929181143009,189.133039312233,106.584046394735,77.1582628254931,109.634990104123
"41","ENSGALG00000026395",128.739564203625,1.29426146461348,0.261934944540272,4.94115615953828,7.76606754058975e-07,0.000273327694172464,62.0382311815051,74.7718843836103,86.4608179713065,156.969231963156,223.019088440809,169.178131281362
"42","ENSGALG00000004246",163.403047002594,1.7617556187011,0.357204947261676,4.93205828252568,8.13676288798639e-07,0.000279555924937247,47.3172949689446,60.8856772837969,114.380457107874,181.19287887105,277.981138672667,298.66083511123
"43","ENSGALG00000015842",1153.99563642038,-0.427777778704888,0.0877435718266005,-4.87531758509063,1.08633541300112e-06,0.00036455395371177,1336.45070901175,1369.39365399698,1266.29072987143,949.566958789461,987.202979164529,1015.06878768817
"44","ENSGALG00000015879",1227.65888904944,-0.401786787425327,0.0825117815994644,-4.86944748539929,1.11910718995434e-06,0.000367016289796389,1393.23146297448,1416.39312418096,1383.3730875409,1100.72251549472,1023.13970431613,1049.09343978945
"45","ENSGALG00000028091",114.77062399576,1.83927505293181,0.379137964296758,4.8512025334719,1.22715154014119e-06,0.000393506593871941,51.5232767439619,37.3859421918051,61.2430793963421,102.708262889472,188.139325793668,247.623856959311
"46","ENSGALG00000014935",3668.49008493919,-0.681845652787335,0.141282743380811,-4.82610711309237,1.39227647480954e-06,0.000436751076771775,4646.55836595036,5362.21228008177,3551.19797146731,2908.77552069996,2679.39994880308,2862.79642263265
"47","ENSGALG00000010975",555.187607968988,0.633042252984825,0.132107665739069,4.79186616040263,1.65237121691737e-06,0.000507313120428036,379.589855195311,464.653852955292,461.124362513635,643.380061873676,711.335765500779,671.041749775233
"48","ENSGALG00000011541",1993.03156659139,0.368802272034317,0.0774379109344203,4.76255451088607,1.91157536776713e-06,0.000574667344934994,1675.03224190064,1702.6626243925,1839.99428245187,2196.60030160787,2284.09597213549,2259.80397705997
"49","ENSGALG00000004290",192.231880944985,1.4495553915177,0.307889822726152,4.70803282382927,2.50118832587393e-06,0.000736574439640016,69.3986992877854,87.5899217065149,151.306431449786,235.453847944734,330.829263895608,278.813121385484
"50","ENSGALG00000009948",317.043847797685,0.888469055904209,0.189229307939312,4.69519793513778,2.66348688849841e-06,0.00076868231602064,214.505070525882,225.38382292774,226.95964717468,332.348435576311,495.715414591182,407.350695990317
"51","ENSGALG00000011099",72.9450474777759,1.57033774713053,0.335528703020966,4.68018900616201,2.86610567544995e-06,0.000810939311700839,28.3903769813667,37.3859421918051,44.1310425061877,101.739317013157,135.291200570728,90.7324056034118
"52","ENSGALG00000017644",7198.00155960866,-0.409093058036156,0.0878787889838517,-4.65519680876951,3.23671380941889e-06,0.000898188082113742,8728.46367860464,8622.26643920717,7286.12518112364,6314.62027594992,6046.88248800885,6189.65129475775
"53","ENSGALG00000011149",437.743699662537,0.665252304673241,0.143248950251143,4.64402917792366,3.41679275572586e-06,0.000930270178587248,364.86891898275,332.200800618611,318.824266269193,474.783479394731,578.158489938969,557.626242770968
"54","ENSGALG00000037336",19515.7644952866,0.746802612921908,0.162631247906865,4.59199952366832,4.39019370952613e-06,0.00117315731904559,12177.3687341188,13698.2092190774,17846.9538429105,20364.3354825287,23413.8333987716,29593.8862943128
"55","ENSGALG00000028415",254.752969163464,1.16007763897969,0.254364754579011,4.56068546485415,5.0986906131147e-06,0.00129859460965104,110.407021594204,177.316182966847,184.629871709561,382.733621144732,272.696326150373,400.734791415069
"56","ENSGALG00000044781",17.8203889463902,-4.71518123398654,1.03416320194908,-4.55941695188909,5.12958369716629e-06,0.00129859460965104,35.750845087647,21.3633955381744,45.9323095472566,3.87578350526311,0,0
"57","ENSGALG00000045359",17.8203889463902,-4.71518123398654,1.03416320194908,-4.55941695188909,5.12958369716629e-06,0.00129859460965104,35.750845087647,21.3633955381744,45.9323095472566,3.87578350526311,0,0
"58","ENSGALG00000035060",41.8263768654126,2.29520610695705,0.506990412424272,4.52711935119658,5.97931730608383e-06,0.00146239913096254,10.5149544375432,12.8180373229046,18.9133039312233,38.7578350526311,87.7278878700812,82.2262425780919
"59","ENSGALG00000036327",234.560765200274,0.746198367523016,0.164720960870637,4.53007536854425,5.8962648710493e-06,0.00146239913096254,191.372170763287,162.361806090125,172.021002422079,306.186896915785,284.32291369942,291.099801310946
"60","ENSGALG00000016301",18.6930792914132,-3.70377435003296,0.82066627822021,-4.51313091365882,6.38775652786925e-06,0.00153625544495255,48.3687904126989,39.5222817456226,16.21140336962,1.93789175263155,4.22785001783524,1.89025845007108
"61","ENSGALG00000002461",551.277703133572,-0.838551143357028,0.187327534185919,-4.47639022742263,7.59156727397684e-06,0.00179584124202436,782.312610153217,796.854653573904,543.082012882269,382.733621144732,350.911551480325,451.771769566988
"62","ENSGALG00000030209",1565.45900844665,1.0368234086907,0.232340974893918,4.46250778264186,8.10059854469585e-06,0.00188534898387034,731.840828853009,939.989403679672,1404.98829203373,1575.50599488945,2372.88082251003,2367.54870871403
"63","ENSGALG00000013782",293.01021971265,1.04932781726578,0.236317738533061,4.44032607869164,8.98226723861504e-06,0.00203111927171955,167.187775556937,145.271089659586,259.38245391392,374.01310825789,378.392576596254,433.814314291313
"64","ENSGALG00000034456",682.422623580414,0.668603864103178,0.150596625478638,4.43970017241867,9.00842920235976e-06,0.00203111927171955,482.636408683235,535.153058231268,562.895950334027,688.920518060517,910.044716339036,914.885089834402
"65","ENSGALG00000037262",324.727575264415,-1.02970494068236,0.23232478467755,-4.43217860768283,9.32856916685582e-06,0.00207094235504199,445.834068151833,453.972155186205,407.986984802103,281.963250007891,209.278575882844,149.330417555615
"66","ENSGALG00000007623",338.84115744662,0.621460720882715,0.140375806058913,4.4271212991069,9.54990344623995e-06,0.00208795616256428,252.358906501038,260.633425565727,287.302093050487,395.329917536837,429.126776810277,408.295825215353
"67","ENSGALG00000006379",778.706195483401,0.692658813758447,0.157848002720267,4.38813796704132,1.14325246621844e-05,0.00241583649399068,596.197916608702,639.833696368322,550.287081046545,776.125646928937,985.089054155611,1124.70377779229
"68","ENSGALG00000015075",289.7879211084,0.837535736867067,0.190779117404727,4.39008078169416,1.13308559811411e-05,0.00241583649399068,180.857216325744,200.815918058839,241.369783503231,357.541028360522,430.183739314736,327.959841087332
"69","ENSGALG00000038722",300.544547766055,0.732427896641017,0.166996820217715,4.38587929809769,1.15518169151322e-05,0.00241583649399068,207.144602419602,214.702125158652,254.879286311247,358.509974236837,416.443226756771,351.588071713221
"70","ENSGALG00000001263",3024.02049511274,-0.452694272745186,0.103315187181098,-4.38168177493277,1.17766731657534e-05,0.00242767705402602,3647.63769438375,3401.05256967736,3435.01624731837,2853.54560574996,2563.13407331261,2243.73678023437
"71","ENSGALG00000007929",359.626921213934,1.0928247985539,0.250903188550292,4.35556361347258,1.32724963466165e-05,0.00261091753056829,151.415343900623,222.179313597013,314.321098666521,444.746157228942,496.772377095641,528.327236794867
"72","ENSGALG00000008275",24.4620054948238,-3.62405296761357,0.832418348137612,-4.35364378466878,1.3389320669581e-05,0.00261091753056829,76.7591673940656,42.7267910763487,16.21140336962,4.84472938157888,5.28481252229405,0.945129225035539
"73","ENSGALG00000008716",2169.39303358976,0.509822093081334,0.117012729019559,4.35697976923617,1.31869451339793e-05,0.00261091753056829,1591.96410184405,1825.502148737,1951.67283899814,2241.17181191839,2687.85564883875,2718.19165120221
"74","ENSGALG00000016473",202.193731240795,-0.746750629225365,0.17134020610304,-4.35829188145301,1.31081490168545e-05,0.00261091753056829,268.131338157353,242.474539358279,249.475485188041,144.372935571051,157.487413164363,151.220676005686
"75","ENSGALG00000036258",519.160372177352,-1.32515195089443,0.305099850209552,-4.34333858238303,1.40333598142709e-05,0.00270001842826573,1116.68816126709,681.492317667762,428.701555774395,294.559546399996,240.987451016609,352.533200938256
"76","ENSGALG00000009514",304.129194400444,1.07029213259469,0.24768994833853,4.32109635362299,1.55255854654461e-05,0.00290953504242061,143.003380350588,213.633955381744,231.462814777352,326.534760318417,517.911627184817,392.228628389749
"77","ENSGALG00000032518",452.410887749846,0.703795366165782,0.162807047083659,4.32288023628445,1.54005343724295e-05,0.00290953504242061,295.470219694965,361.041384595147,375.564178062863,480.597154652625,603.525590045981,598.266799447497
"78","ENSGALG00000019797",234.393457009678,0.923511976368855,0.214557421328344,4.30426489399113,1.67541105212733e-05,0.00309951044643556,160.878802894412,157.020957205582,167.517834819406,236.42279382105,314.974826328725,369.545526988896
"79","ENSGALG00000004969",63.7774112878351,2.21591988164022,0.51546978874076,4.29883560596925,1.71697762632842e-05,0.00313620090479989,18.9269179875778,9.61352799217846,38.727241382981,82.360399486841,147.974750624233,85.0616302531985
"80","ENSGALG00000002645",384.463125976743,-1.1886103031875,0.276787561002581,-4.29430534696757,1.75241153473822e-05,0.00316091230578406,713.965406309186,471.062871616745,418.794587048516,314.907409802628,165.943113200033,222.105367883352
"81","ENSGALG00000004274",283.375464753321,0.909127352030902,0.212422190927486,4.27981346045551,1.87050022545568e-05,0.00321325217301494,170.3422618882,255.292576681184,165.716567778337,402.112538671047,364.652064038289,342.136779462865
"82","ENSGALG00000005426",718.776420975912,0.935334630028754,0.218433300898795,4.28201481266868,1.85208649692268e-05,0.00321325217301494,444.782572708079,557.584623546351,478.236399403789,710.237327339465,1286.32336792637,835.494234931417
"83","ENSGALG00000016906",273.652848463849,-0.827936551316979,0.193238124569159,-4.28454039886245,1.8311733418501e-05,0.00321325217301494,371.177891645276,387.745629017865,291.80526065316,227.702280934208,183.911475775833,179.574552756752
"84","ENSGALG00000041510",9.33407317831075,-6.67927859384238,1.55927154349204,-4.28358910397602,1.83902400640864e-05,0.00321325217301494,35.750845087647,8.54535821526975,11.7082357669478,0,0,0
"85","ENSGALG00000013929",2109.20284785809,0.447890549099459,0.104809930378089,4.27335985706457,1.92549323238699e-05,0.00326880792274638,1726.5555186446,1832.97933717536,1794.06197290461,2229.5444614026,2309.4630722425,2762.61272477888
"86","ENSGALG00000031776",417.405984592901,1.14681554353625,0.268580018955512,4.26992129941807,1.95541954425053e-05,0.0032810120957599,169.290766444446,254.224406904275,354.84960709057,446.684048981573,666.943340313509,612.44373782303
"87","ENSGALG00000022887",190.920638657147,-0.874201064673338,0.207170205139146,-4.21972389362737,2.44601699755782e-05,0.00405701439939762,261.822365494827,273.451462888632,206.245076202387,150.186610828945,130.006388048434,123.811928479656
"88","ENSGALG00000001727",213.849147024938,-0.891767324643233,0.212177897925264,-4.20292279904358,2.63490472582567e-05,0.00423155613355971,337.530037445138,271.315123334814,225.158380133611,154.062394334209,153.259563146527,141.769383755331
"89","ENSGALG00000007656",43.0199396778688,-1.80201918138524,0.429046978482869,-4.20005097753459,2.66854891305567e-05,0.00423155613355971,83.0681400565916,48.0676399608923,69.3487810811521,14.5341881447367,23.2531750980938,19.8477137257463
"90","ENSGALG00000009415",836.549181247052,-0.751802705486657,0.178958350577943,-4.20099259441497,2.65747285004605e-05,0.00423155613355971,979.99375357903,1262.5766763061,906.937955178184,499.007126302625,655.316752764462,715.462823351903
"91","ENSGALG00000035345",901.723886174995,0.471597187873521,0.112252267103899,4.20122639872404,2.65472943681578e-05,0.00423155613355971,763.385692165639,764.809560266642,738.519486838243,944.722229407882,1157.3739423824,1041.53240598916
"92","ENSGALG00000010794",379.295368537613,1.54111875138677,0.367784648329708,4.19027482083809,2.78616793447723e-05,0.0043700438363594,141.951884906834,106.816977690872,332.333769077209,424.39829382631,670.114227826886,600.157057897568
"93","ENSGALG00000016834",340.832492036185,0.661576708823362,0.158668222368926,4.16956022413298,3.05187964987714e-05,0.00473533584384163,235.534979400969,278.792311773175,277.395124324608,370.137324752627,450.266026899453,432.869185066277
"94","ENSGALG00000005180",1110.94431640317,0.84573965992233,0.203511977674575,4.15572424574787,3.24258727263388e-05,0.00497771641958584,640.360725246383,826.763407327348,915.043656862994,1112.34986601051,1860.25400784751,1310.89423512429
"95","ENSGALG00000038634",486.577590311412,1.05710762994657,0.255080624851253,4.14420981822122,3.40987434939017e-05,0.00517941966965265,226.07152040718,270.246953557906,450.316760267221,538.733907231572,735.645903103332,698.450497301264
"96","ENSGALG00000015542",835.146003429002,0.981402922039234,0.238430497162177,4.11609644621803,3.85343109606569e-05,0.00579218861627374,378.538359751557,634.492847483779,670.97197279816,910.80912373683,1432.18419354169,983.879523261997
"97","ENSGALG00000040114",1032.28345379267,2.19844613606633,0.534525484353136,4.11289302459884,3.90731473860705e-05,0.00581263419361853,146.157866681851,475.33555072438,486.342101088599,1595.85385829208,2077.98828376602,1412.0230622031
"98","ENSGALG00000022819",265.29926464353,-1.17466789754836,0.286183342376002,-4.10459912794305,4.05016577361815e-05,0.00596366246054183,283.903769813667,522.335020908363,297.209061776366,204.447579902629,137.405125579645,146.495029880509
"99","ENSGALG00000029072",268.653858727966,1.13645714129023,0.278303749938102,4.08351357659748,4.43598363435027e-05,0.00646578220643175,129.333939581782,169.838994528486,204.443809161319,250.956981965786,376.278651587336,481.07077554309
"100","ENSGALG00000004852",835.487026424493,0.584380094107252,0.143599609729808,4.06951032253362,4.71120524001394e-05,0.00679826916134011,641.412220690138,672.946959452492,690.785910249918,821.666103115779,1143.63342982443,1042.4775352142
"101","ENSGALG00000009626",2172.85577000147,0.551382796009835,0.135869616691462,4.05817584119587,4.94575233249875e-05,0.00706606001563931,1842.22001745758,1662.07217286997,1783.2543706582,2061.91682479997,2830.54558694069,2857.12564728244
"102","ENSGALG00000036073",728.163323531662,1.15180857115936,0.284395895275093,4.05001826782778,5.12136348514665e-05,0.00724522304810453,376.435368864048,644.106375475957,335.936303159347,1284.82223199472,1071.75997952123,655.919682174664
"103","ENSGALG00000025862",432.141652389796,0.516171280523677,0.127720761821322,4.04140464841408,5.31319848415081e-05,0.00744363632294138,352.250973657698,337.541649503155,376.464811583397,508.696585065783,535.879989760617,482.015904768125
"104","ENSGALG00000036412",472.678043474735,0.764728300676836,0.18998541175883,4.02519484836864,5.69281585511952e-05,0.00783054156467967,333.324055670121,296.951197980624,419.69522056905,485.441884034204,626.778765144074,673.87713745034
"105","ENSGALG00000045426",2565.53905741693,0.526143783733664,0.130719445720612,4.02498481257485,5.69789926743843e-05,0.00783054156467967,1774.9243090573,2243.15653150831,2289.41040919855,2742.11682997365,3438.29902700451,2905.32723775925
"106","ENSGALG00000045943",7.09943428437703,6.26447437980071,1.56529340375232,4.00210871954325,6.27804369885212e-05,0.00854643118626755,0,0,0,6.78262113421044,16.911400071341,18.9025845007108
"107","ENSGALG00000030943",745.293184975697,0.571435241542849,0.143267628971418,3.98858587697329,6.64683407569135e-05,0.00896390801048843,503.666317558321,694.310354990667,600.722558196473,841.045020642094,950.20929150847,881.805566958158
"108","ENSGALG00000015708",1974.3492302234,0.622865539769568,0.156407799004446,3.98231765764994,6.82464804697404e-05,0.00911848808498476,1559.36774308766,1364.05280511243,1740.02396167254,2961.09859802101,2095.95664634182,2125.59562710493
"109","ENSGALG00000011349",167.661789507123,1.36370099879061,0.343771847258937,3.96687806073728,7.28202250975559e-05,0.00946662926268227,100.943562600415,51.2721492916185,128.790593436425,186.037608252629,243.101376025526,295.825447436124
"110","ENSGALG00000037611",638.677892191331,0.772202016148974,0.194590818722913,3.96833736153064,7.2375826255993e-05,0.00946662926268227,426.907150164255,497.767116039463,489.944635170737,676.324221668412,1055.90554195435,685.218688150766
"111","ENSGALG00000038217",422.687033122175,-0.901138188010225,0.227128412567684,-3.96752734641549,7.26221812731496e-05,0.00946662926268227,601.455393827473,586.425207522886,463.826263075238,365.292595371048,314.974826328725,204.147912607677
"112","ENSGALG00000026452",1131.82758872609,0.564035068387998,0.142793156363975,3.95001471184158,7.81463897302989e-05,0.00997922481246206,761.282701278131,972.034496986934,1006.00764243697,1180.17607735262,1457.5512936487,1413.91332065317
"113","ENSGALG00000032986",49.9942520929975,2.11168026342862,0.534436206921063,3.95122979334467,7.77506237143288e-05,0.00997922481246206,10.5149544375432,13.8862070998133,31.5221732187055,70.7330489710517,119.436763003846,53.8723658270257
"114","ENSGALG00000006216",33.5072834059534,2.04887852842146,0.519157345854586,3.94654635012205,7.92865787080285e-05,0.0100360116733057,15.7724316563149,11.7498675459959,11.7082357669478,45.5404561868415,35.9367251515995,80.3359841280209
"115","ENSGALG00000001118",4180.50151279163,0.273642091763057,0.0694063222131212,3.94261045734138,8.05995092198216e-05,0.0101134862438437,3648.6891898275,3787.73002891831,3917.75581432483,4491.06413672363,4797.55280773854,4440.21709921696
"116","ENSGALG00000002771",372.410469775662,0.662864751961823,0.168358870324216,3.93721311318682,8.24333932265038e-05,0.010254429864297,262.873860938581,261.701595342636,339.538837241485,409.864105681574,475.633127006465,484.851292443232
"117","ENSGALG00000036798",2818.09024183078,0.629946573798196,0.160695350726298,3.92012943094503,8.8501424522043e-05,0.010915175691052,2507.81663335406,1798.79790431428,2329.9389176226,2832.22879647102,4088.33096724668,3351.42823197602
"118","ENSGALG00000016945",1923.03671957363,1.64044978515109,0.419548289436766,3.9100380729793,9.2281574701072e-05,0.0112849417198006,602.506889271228,883.37640550351,1315.82557350082,2258.61283769208,4001.66004188106,2476.23856959311
"119","ENSGALG00000016128",66.5476738824874,-1.70560955524121,0.437132271460502,-3.90181568965979,9.54738432024068e-05,0.0115772063647961,103.046553487924,144.202919882677,58.5411788347388,41.6646726815784,25.3671001070114,26.4636183009951
"120","ENSGALG00000000402",1264.85578557873,0.495234120865207,0.127882361672267,3.87257565773127,0.000107691230734153,0.0127375775368347,889.565145416158,1130.12362396942,1129.39443475019,1346.83476807893,1516.74119389839,1576.47554735928
"121","ENSGALG00000012481",131.521677205669,1.74661194904387,0.450948563893709,3.87319550141766,0.000107417591624076,0.0127375775368347,30.4933678688754,37.3859421918051,112.579190066805,180.223932994734,226.189975954185,202.257654157605
"122","ENSGALG00000041577",1041.98783406792,0.673217147605206,0.17371494841028,3.87541287474698,0.00010644406135731,0.0127375775368347,623.536798146314,756.264202051372,1028.52348045033,1258.66069333419,1304.29173050217,1280.65009992316
"123","ENSGALG00000000317",116.730067953911,1.32310344094465,0.342160792079902,3.86690547710587,0.000110225125599216,0.0129312891251763,41.0083223064186,63.0220168376144,95.4671531766509,146.310827323682,153.259563146527,201.31252493257
"124","ENSGALG00000011296",2155.64616569886,-0.437270517504106,0.113380209980167,-3.85667408430974,0.000114940249413955,0.0133757080568014,2732.83665831749,2331.81462299173,2374.97059364933,2030.91055675787,1834.88690774049,1628.45765473623
