 ,Label,Area,Mean,IntDen,RawIntDen
1,A:background,9.781,162.201,1586.451,65205
2,A:0003-0547-0514,672.171,1243.373,835758.937,34350665
3,A:0003-0776-0545,647.354,1021.167,661056.171,27170178
