 ,Label,Area,Mean,IntDen,RawIntDen
1,A:background,18.077,592.507,10710.962,440233.000
2,A:0003-0816-0646,528.185,1349.406,712735.559,29294261.000
3,A:0003-0416-0566,765.818,1369.698,1048938.667,43112600.000
4,A:0003-0302-0512,790.245,1481.377,1170650.938,48115116.000
