Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,9,2.912,0.324,1.289,255,82.517
3,2,0.807,0.403,0.412,255,102.868
4,6,5.844,0.974,3.063,255,248.388
