Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000036140	12	11	3	18	4	12	3	1	11	13	14
ENSGALG00000008036	3404	4320	2854	3945	6811	6570	4759	5868	4815	2671	3689
ENSGALG00000008048	0	1	0	10	0	0	0	0	0	3	9
ENSGALG00000027296	0	0	0	6	0	0	0	0	0	0	0
ENSGALG00000008087	11	11	0	2	17	20	29	0	1	11	5
ENSGALG00000008103	1108	1176	1093	1134	1890	2672	1401	1878	1403	802	821
ENSGALG00000008111	396	559	588	540	1106	499	714	875	657	542	595
ENSGALG00000008144	2684	3625	2539	3453	5850	5061	3539	3557	5255	2580	2796
ENSGALG00000008153	0	20	16	26	26	49	76	34	25	119	92
ENSGALG00000008162	161	322	129	247	550	592	381	394	483	209	236
ENSGALG00000008168	93	185	149	133	277	546	163	167	236	132	225
ENSGALG00000008169	10461	13107	13155	12397	19933	18436	14499	18477	13823	9441	10416
ENSGALG00000055101	581	892	323	277	786	384	615	328	184	357	276
ENSGALG00000053060	1	14	11	0	6	3	1	3	0	5	1
ENSGALG00000008401	333	306	442	313	454	814	460	430	526	408	329
ENSGALG00000008424	1	5	7	5	0	10	22	4	14	21	2
ENSGALG00000008437	5092	5575	5422	6193	6091	10250	8142	5764	4549	3365	3504
ENSGALG00000050230	43	60	55	73	71	77	76	74	18	116	101
ENSGALG00000047026	44	35	90	49	39	56	79	111	72	130	72
ENSGALG00000008444	373	297	474	356	365	447	482	564	405	850	577
ENSGALG00000032978	0	0	0	0	1	0	0	0	1	0	0
ENSGALG00000018270	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047442	4	0	0	0	0	0	14	0	1	3	6
ENSGALG00000038187	187	284	443	210	467	497	404	281	296	382	287
ENSGALG00000037842	174	173	97	128	370	331	290	136	182	123	82
ENSGALG00000008477	1274	1819	1092	1749	2293	2194	1907	1636	2227	1459	1565
ENSGALG00000028216	30	10	25	26	19	9	42	4	16	56	42
ENSGALG00000006489	12203	11664	19297	18224	13386	13702	13024	16972	9261	11050	13433
ENSGALG00000048978	0	1	0	2	0	0	1	0	0	0	2
ENSGALG00000006473	5039	4984	2084	3748	2594	4551	1388	1270	1083	490	600
ENSGALG00000047970	2	5	0	1	1	0	0	0	0	0	1
ENSGALG00000027460	1	5	0	4	0	0	4	0	1	0	0
ENSGALG00000052521	9	7	0	18	0	3	2	3	0	1	0
ENSGALG00000047975	0	1	0	0	1	1	1	0	3	3	1
ENSGALG00000006409	11154	11131	10688	11441	15790	15454	17368	13199	10915	11421	10394
ENSGALG00000006356	2389	2649	2422	2943	3598	2946	2817	2642	2466	1956	2534
ENSGALG00000051559	118	155	79	89	284	215	170	116	178	179	215
ENSGALG00000048728	37	27	25	43	92	90	52	52	224	131	115
ENSGALG00000047050	0	2	0	0	0	12	0	0	0	2	7
ENSGALG00000048519	2	0	0	0	0	0	1	4	0	0	5
ENSGALG00000050475	4	0	0	0	5	0	1	8	5	6	7
ENSGALG00000052368	1	1	0	7	1	3	2	2	0	2	4
ENSGALG00000018236	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000018235	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000041978	0	0	0	0	0	0	0	0	0	6	24
ENSGALG00000042471	0	0	0	2	0	2	10	2	0	1	0
ENSGALG00000006332	4310	3997	5508	5574	4729	5708	4282	6063	4103	4251	4716
ENSGALG00000040369	860	1077	351	180	1102	1033	548	389	335	138	199
ENSGALG00000034970	105	246	82	73	440	491	146	249	379	32	75
ENSGALG00000048616	1	0	0	0	0	0	1	0	0	0	0
ENSGALG00000009279	38	81	27	26	113	94	56	52	43	31	29
ENSGALG00000053050	12	4	14	16	0	0	4	2	0	0	0
