Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000054556	2	0	0	0	0	2	0	0	0	0	0
ENSGALG00000047767	1	0	0	2	0	0	1	0	0	1	4
ENSGALG00000050081	0	0	0	2	0	0	3	0	6	6	8
ENSGALG00000034048	30	88	66	96	192	62	96	102	66	116	124
ENSGALG00000054854	8	6	5	1	2	14	6	1	0	3	8
ENSGALG00000007853	0	0	0	1	0	1	1	0	0	2	7
ENSGALG00000007845	471	420	416	589	611	411	557	410	550	724	483
ENSGALG00000007835	3755	3841	2720	3662	5925	4808	2895	4076	2701	656	1420
ENSGALG00000007832	1432	1384	1621	1923	1847	1265	2246	2395	1420	1291	1629
ENSGALG00000007825	106	134	102	249	105	205	149	138	79	191	150
ENSGALG00000023934	50	122	82	157	72	95	174	76	27	94	79
ENSGALG00000004483	555	675	801	884	1036	969	1134	1187	657	1384	1499
ENSGALG00000004455	4839	5025	3027	5846	5004	3233	5146	3857	2465	3727	4261
ENSGALG00000029476	14834	13356	16743	22409	17660	13209	18909	18043	10264	20723	22152
ENSGALG00000038549	266	274	188	252	289	258	359	302	271	294	277
ENSGALG00000037957	50	59	127	104	69	49	84	115	68	68	87
ENSGALG00000052361	56	30	25	68	58	18	35	52	20	48	37
ENSGALG00000038727	14	37	6	14	2	9	8	4	23	28	7
ENSGALG00000054844	34	60	50	84	51	34	68	47	29	48	63
ENSGALG00000029261	10871	9426	16557	16176	12712	11136	14458	14382	7982	15063	15072
ENSGALG00000008139	315	371	435	332	376	196	589	476	214	510	263
ENSGALG00000029512	7086	9120	7612	10681	12424	5323	13787	9392	6094	8837	11595
ENSGALG00000027632	280	302	708	610	331	251	504	473	274	483	381
ENSGALG00000050343	0	1	0	0	0	0	3	0	0	0	2
ENSGALG00000008163	1386	1486	797	1763	1586	1004	1953	1367	786	1100	1483
ENSGALG00000008165	43	44	62	63	10	44	44	35	26	16	31
ENSGALG00000008166	19	9	0	8	0	42	0	32	0	9	2
ENSGALG00000008172	279	421	735	447	678	486	686	573	493	877	719
ENSGALG00000008176	1384	1537	1247	2045	2297	1898	2047	2336	1455	951	1629
ENSGALG00000008182	334	335	217	246	377	177	167	281	237	198	246
ENSGALG00000023882	160	134	280	329	89	79	113	142	44	110	169
ENSGALG00000008195	425	646	591	689	627	341	753	565	409	872	690
ENSGALG00000008198	328	618	635	447	846	959	656	661	878	633	635
ENSGALG00000008233	2833	3839	2684	3259	5064	5384	3907	3914	4314	3518	4186
ENSGALG00000051135	77	62	2	18	50	143	36	93	47	20	49
ENSGALG00000008254	1289	1537	1290	1536	1680	1575	1910	1643	1142	2084	2023
ENSGALG00000048822	23	5	25	0	1	0	0	0	1	3	7
ENSGALG00000008257	95	146	169	158	407	109	444	352	386	1138	874
ENSGALG00000046358	49	73	119	84	39	63	140	58	92	377	231
ENSGALG00000008269	2054	1829	1283	2186	2317	2069	2257	2199	2079	2272	2218
ENSGALG00000008313	229	283	226	240	503	283	298	287	150	209	266
ENSGALG00000053640	414	461	455	510	437	262	547	434	228	545	386
ENSGALG00000053659	127	132	255	136	191	50	147	167	133	207	214
ENSGALG00000008359	34	16	1	5	39	14	17	44	72	110	55
ENSGALG00000008362	22	5	5	10	17	7	27	28	7	26	24
ENSGALG00000052490	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000030889	5	11	17	38	9	22	18	11	32	146	82
ENSGALG00000042376	0	0	0	9	0	0	5	0	16	15	59
ENSGALG00000039040	0	0	9	1	1	2	0	1	8	17	17
ENSGALG00000036869	3	1	6	1	0	0	4	6	0	21	5
ENSGALG00000035835	0	0	0	0	0	1	0	0	0	0	0
ENSGALG00000008372	4994	4764	3536	4994	5187	3885	5103	5025	4020	4029	3407
ENSGALG00000008386	281	342	295	373	475	379	684	540	387	862	690
ENSGALG00000042557	1	4	1	0	3	0	0	2	0	2	8
ENSGALG00000047716	3	0	0	0	0	0	0	0	1	1	0
ENSGALG00000044730	333	362	292	346	350	168	436	258	162	228	215
ENSGALG00000032964	72	127	24	124	91	30	96	33	12	20	38
ENSGALG00000025266	5	0	0	0	3	0	0	0	0	0	0
ENSGALG00000048241	0	0	0	0	0	1	0	0	0	0	0
ENSGALG00000008416	0	16	0	35	12	9	21	5	1	10	0
ENSGALG00000051181	0	5	46	25	19	2	24	0	6	3	6
ENSGALG00000049282	34	68	86	41	101	75	86	55	17	53	45
ENSGALG00000008429	5103	4996	4580	5850	7302	6962	5076	6680	5909	3391	4111
ENSGALG00000043441	19	16	14	15	2	0	10	2	4	31	9
ENSGALG00000030566	7	5	6	3	1	0	0	4	0	7	3
ENSGALG00000008445	373	285	464	344	408	234	725	433	230	519	584
ENSGALG00000042483	41	33	81	44	42	39	65	107	114	173	142
ENSGALG00000008457	269	265	44	246	506	401	373	162	407	211	298
ENSGALG00000008508	214	482	205	352	495	598	661	467	277	525	433
ENSGALG00000008525	650	417	955	636	499	640	971	626	573	1199	1161
ENSGALG00000040005	400	430	334	206	385	133	396	228	124	272	226
ENSGALG00000033894	85	75	171	140	93	86	166	114	121	508	224
ENSGALG00000008536	119	132	218	176	194	178	176	276	256	954	529
ENSGALG00000041074	53	50	143	85	45	62	121	73	37	116	117
ENSGALG00000028056	891	954	1666	1414	1090	923	1592	1850	853	2828	2254
ENSGALG00000035063	1	2	2	1	4	0	5	12	0	3	6
ENSGALG00000008567	102	122	83	95	97	82	166	106	62	196	97
ENSGALG00000033567	59	35	68	68	84	18	70	61	55	99	74
ENSGALG00000008597	104	121	284	216	143	111	184	253	147	442	241
ENSGALG00000030384	392	639	213	276	983	833	404	358	910	843	532
ENSGALG00000035047	0	1	0	1	0	2	0	1	0	0	0
ENSGALG00000008609	436	389	720	717	338	285	793	553	318	2840	868
ENSGALG00000032029	152	79	217	129	101	150	196	148	201	602	285
ENSGALG00000038017	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000038972	140	115	124	229	256	67	387	212	131	206	297
ENSGALG00000008701	45	96	10	49	27	42	43	11	8	35	38
ENSGALG00000034768	4068	3603	4751	5459	4174	4898	3582	4558	3319	3784	3703
ENSGALG00000029333	792	804	823	1042	964	694	858	713	391	626	535
ENSGALG00000047811	18	11	0	0	0	0	32	4	0	1	2
ENSGALG00000023773	107	49	67	75	66	63	139	80	14	74	56
ENSGALG00000008716	1211	1163	1624	1096	1364	1440	1313	1121	792	1161	930
ENSGALG00000053436	150	162	33	79	141	58	60	19	6	15	27
ENSGALG00000017921	6	4	7	26	6	11	29	15	11	25	15
ENSGALG00000048886	25	70	5	63	32	70	45	43	66	28	19
ENSGALG00000037200	264	172	85	109	202	89	113	71	100	209	179
ENSGALG00000054592	0	0	0	0	0	0	0	0	1	0	0
ENSGALG00000008725	1203	1503	948	2165	1802	1033	2189	1675	981	1977	2018
ENSGALG00000026999	12128	11547	20646	18301	13994	11171	12400	15602	10538	16512	14666
ENSGALG00000008732	212	142	293	243	2	24	6	23	88	146	164
ENSGALG00000042786	0	0	0	0	5	0	0	0	0	0	0
ENSGALG00000047260	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000049481	1	1	0	0	2	0	0	0	0	0	0
ENSGALG00000050208	1	1	0	0	0	0	0	0	0	0	0
ENSGALG00000051441	28	16	5	9	8	1	9	14	29	10	8
ENSGALG00000048003	1	1	0	27	2	0	5	0	1	2	1
ENSGALG00000053744	31	28	0	4	8	0	23	0	9	22	18
ENSGALG00000048650	0	1	2	0	0	0	0	2	0	0	0
ENSGALG00000048529	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047360	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000009107	3425	2806	2922	3427	4436	2893	3924	2746	1198	1972	1739
ENSGALG00000034941	12	2	0	5	5	4	18	1	9	0	7
ENSGALG00000050626	0	1	0	0	0	3	0	0	0	0	0
ENSGALG00000017922	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000009100	2	36	0	54	2	37	2	16	82	48	98
ENSGALG00000032863	0	11	0	3	0	0	0	5	17	9	11
ENSGALG00000046928	0	0	0	0	0	0	1	0	0	0	0
ENSGALG00000054071	5	2	0	2	4	4	0	0	4	2	5
ENSGALG00000009095	110	81	220	64	67	167	96	226	46	279	227
ENSGALG00000026747	50	46	30	17	35	20	40	23	18	44	52
ENSGALG00000009092	570	532	963	720	724	411	1119	808	690	1311	901
ENSGALG00000046970	78	77	24	53	69	11	83	68	14	33	16
ENSGALG00000009086	3308	3640	5642	5287	4673	3964	6519	7634	3625	6828	6236
ENSGALG00000009069	3	0	0	0	0	0	0	0	0	0	1
ENSGALG00000009078	0	15	6	25	39	4	29	5	9	7	10
ENSGALG00000025299	0	3	0	0	0	0	0	0	0	0	0
ENSGALG00000049336	1	0	0	1	0	0	0	2	0	0	0
ENSGALG00000020084	40	41	6	8	10	1	14	27	2	12	6
ENSGALG00000009056	1262	1362	2620	2941	1540	1210	2464	2679	1141	2234	2681
ENSGALG00000009052	661	957	1545	2332	790	556	1088	1190	589	876	1112
ENSGALG00000009047	1815	2126	2303	2584	4489	3403	3789	4317	3071	2255	2596
ENSGALG00000009041	0	16	6	45	37	17	126	51	39	103	196
ENSGALG00000054359	2	1	0	0	2	0	14	16	10	4	0
ENSGALG00000049600	0	3	0	1	0	0	0	0	2	10	8
ENSGALG00000038432	0	0	0	12	2	0	3	0	0	12	26
ENSGALG00000009034	13	16	1	18	5	8	29	15	5	38	34
ENSGALG00000009024	109	209	176	198	195	252	216	175	92	123	209
ENSGALG00000009007	24	60	18	22	1	0	32	32	3	7	52
ENSGALG00000008998	63	19	16	49	35	113	59	1	59	53	52
ENSGALG00000032529	2773	2747	4722	4252	2952	1902	4455	3880	1611	4577	3646
ENSGALG00000027915	4	6	3	11	0	5	10	5	1	6	17
ENSGALG00000028735	0	3	0	4	0	0	0	1	1	7	0
ENSGALG00000027994	8	2	0	7	2	0	1	0	1	3	5
ENSGALG00000027343	7	3	6	11	1	0	11	5	0	4	9
ENSGALG00000008979	179	212	335	365	197	179	254	276	136	486	348
ENSGALG00000017392	117	148	82	106	107	101	127	177	72	68	83
ENSGALG00000047367	0	1	6	25	2	0	1	4	0	3	6
ENSGALG00000008969	1365	1323	5226	3314	2641	1965	5414	6103	1144	5242	4830
ENSGALG00000008962	1984	1779	3851	3210	2367	2173	3298	3001	1176	4112	3711
ENSGALG00000043013	38	75	127	133	46	38	74	67	28	98	147
ENSGALG00000008960	37	34	80	68	34	30	64	49	24	135	71
ENSGALG00000055043	55	34	35	46	18	26	30	28	21	24	32
ENSGALG00000008957	2838	3144	3336	3744	4654	3850	5161	4625	2004	4073	3226
ENSGALG00000008944	1024	922	884	1593	1441	556	1201	1187	561	714	1122
ENSGALG00000008942	2251	2178	1398	1750	2166	1294	2631	1887	1197	1271	1332
ENSGALG00000008937	677	654	1005	890	900	685	975	900	630	1256	1228
ENSGALG00000008931	263	217	337	206	243	159	263	159	178	542	246
ENSGALG00000008930	570	665	772	704	706	604	1121	1075	439	1123	1115
ENSGALG00000054576	0	1	0	0	0	1	3	0	0	0	2
ENSGALG00000051822	2	0	0	0	2	0	1	0	0	0	0
ENSGALG00000026491	22	27	153	186	63	55	208	204	19	152	259
ENSGALG00000053842	0	1	0	0	1	0	2	1	0	2	0
ENSGALG00000042897	0	0	0	0	1	0	3	3	0	3	0
ENSGALG00000040348	1339	1494	965	1017	2197	1600	1899	1552	1093	1321	1030
ENSGALG00000030809	165	166	263	237	323	193	398	380	200	1066	538
ENSGALG00000028817	142	152	62	72	258	131	172	98	86	206	79
ENSGALG00000008866	218	404	123	174	420	394	181	162	153	107	127
ENSGALG00000008858	11207	14245	22986	19452	20309	19231	21305	25976	15843	14017	13612
ENSGALG00000008855	2729	3039	3896	4940	3780	3512	4006	5450	3535	3381	3741
ENSGALG00000008847	393	469	421	621	435	600	512	542	397	466	518
ENSGALG00000008837	1850	1829	2480	2761	2428	2352	3039	3250	1792	3044	3194
ENSGALG00000052866	1	0	0	7	1	0	0	0	0	1	0
ENSGALG00000053493	35	51	16	43	49	112	10	32	39	52	73
ENSGALG00000027096	365	306	490	645	562	316	700	632	373	1074	849
ENSGALG00000008828	1125	797	975	919	905	757	1055	1411	580	673	765
ENSGALG00000047433	0	1	2	1	1	0	2	1	0	0	1
ENSGALG00000026298	463	587	237	503	799	583	637	431	672	503	548
ENSGALG00000008811	728	735	579	642	745	369	693	573	199	1054	495
ENSGALG00000008787	119	158	191	189	132	259	163	132	125	246	154
ENSGALG00000031582	2262	2082	4858	2908	3161	1648	3902	3404	2079	7366	5167
ENSGALG00000055124	103	137	96	120	117	86	122	49	53	113	103
ENSGALG00000008779	2990	3299	4701	5160	3321	2587	4099	4347	2385	5352	4906
ENSGALG00000008778	370	241	316	511	328	158	541	411	146	428	317
ENSGALG00000027518	9	3	1	7	12	5	12	1	6	8	2
ENSGALG00000054777	0	1	0	2	14	0	0	0	0	0	1
ENSGALG00000047819	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000048702	0	0	0	0	0	9	0	0	0	0	0
ENSGALG00000046899	0	0	0	0	0	0	2	0	0	0	1
ENSGALG00000049624	0	10	0	0	0	0	0	0	0	3	1
ENSGALG00000048277	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000041626	327	475	255	423	406	260	750	413	490	433	360
ENSGALG00000050146	0	1	0	1	0	3	4	0	2	1	1
ENSGALG00000047100	0	0	0	4	12	0	1	0	10	0	19
ENSGALG00000052036	17	64	0	65	6	19	19	18	0	12	1
ENSGALG00000051941	9	8	0	7	0	0	7	0	0	0	5
ENSGALG00000054201	0	0	0	0	0	0	0	6	0	0	1
ENSGALG00000049407	0	0	0	0	0	0	0	6	0	0	1
ENSGALG00000027922	372	363	559	638	397	267	556	548	153	444	515
ENSGALG00000049159	0	5	0	0	0	0	0	0	0	0	0
ENSGALG00000049926	23	0	0	5	8	0	27	0	0	1	10
ENSGALG00000047666	0	24	10	0	0	0	0	4	0	4	2
ENSGALG00000008765	1994	1948	3418	2708	1952	2021	1981	2535	1979	2710	2376
ENSGALG00000008760	342	306	759	682	482	328	675	688	177	1017	670
ENSGALG00000009093	516	443	1083	840	440	356	754	770	275	1227	744
ENSGALG00000023648	531	296	636	743	384	572	1032	882	617	1383	992
ENSGALG00000047062	23	22	25	19	7	5	19	19	4	15	14
ENSGALG00000008757	57	106	60	53	94	197	136	236	68	100	124
ENSGALG00000008756	22	55	69	38	35	26	52	85	61	87	103
ENSGALG00000008753	198	221	344	276	375	268	366	486	352	510	592
ENSGALG00000008745	258	445	630	1025	397	361	647	803	183	628	768
ENSGALG00000008741	9	17	0	16	4	2	25	21	49	38	26
ENSGALG00000049967	2	4	4	38	12	1	0	0	9	12	12
ENSGALG00000008735	0	0	2	0	3	0	17	1	72	29	55
ENSGALG00000008734	38	64	22	63	86	45	97	109	79	206	258
ENSGALG00000048740	6	3	0	0	0	0	4	0	0	12	0
ENSGALG00000009158	7945	9584	2274	5916	11102	8946	8517	6512	6311	3344	3524
ENSGALG00000050652	2553	3231	9815	11418	4253	4095	9648	13023	3141	6831	8922
ENSGALG00000009082	5536	5778	6154	5028	9026	6724	8131	6157	3169	5144	3481
ENSGALG00000009073	1264	1578	879	1444	2429	3035	1958	2254	2354	1093	1317
ENSGALG00000028126	0	0	0	0	0	0	4	0	0	0	0
ENSGALG00000009068	43	36	95	119	59	14	75	124	72	251	146
ENSGALG00000020729	107	85	143	131	148	72	150	115	43	278	122
ENSGALG00000009057	698	740	323	790	854	734	648	342	468	446	503
ENSGALG00000054896	11	43	1	12	33	72	37	11	56	2	4
ENSGALG00000009042	19	18	60	0	16	43	27	12	35	215	213
ENSGALG00000047279	13	4	2	32	0	0	6	1	7	4	19
ENSGALG00000009037	7	13	46	58	0	0	24	15	14	32	10
ENSGALG00000054595	0	0	0	5	0	0	0	0	0	0	0
ENSGALG00000051972	0	0	0	2	0	0	0	0	0	0	0
ENSGALG00000050642	1	18	0	5	1	0	1	0	0	0	6
ENSGALG00000055099	2	4	0	2	4	1	0	7	3	0	0
ENSGALG00000051447	13	59	4	71	22	63	17	16	4	12	45
ENSGALG00000009028	854	802	1471	1438	1302	1083	1333	1393	641	1213	1007
ENSGALG00000049048	0	0	0	0	0	0	2	0	3	2	12
ENSGALG00000047406	4	4	0	3	0	1	0	1	3	4	1
ENSGALG00000054441	5	22	3	6	3	0	0	5	27	12	32
ENSGALG00000047444	6	3	5	12	15	1	29	0	12	11	20
ENSGALG00000048541	11	6	3	4	1	2	7	1	9	2	1
ENSGALG00000025549	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000050571	0	6	0	6	3	10	0	17	11	3	6
ENSGALG00000047796	3	0	0	3	2	0	2	3	3	7	4
ENSGALG00000052535	0	8	0	0	0	0	1	0	0	0	0
ENSGALG00000009020	398	611	245	364	348	139	415	229	1166	749	998
ENSGALG00000009016	402	356	353	552	596	243	596	608	362	704	546
ENSGALG00000009013	1186	1371	1870	2001	1657	1328	1824	1987	1656	1700	1823
ENSGALG00000050413	6	3	5	5	3	1	10	9	4	3	4
ENSGALG00000009003	35	85	137	41	74	49	100	72	106	101	80
ENSGALG00000050449	0	0	0	0	2	1	0	0	0	0	2
ENSGALG00000008996	19	19	32	21	53	9	12	34	27	18	34
ENSGALG00000023601	0	0	7	1	0	5	11	0	1	23	1
ENSGALG00000048184	1	2	0	0	5	2	0	32	0	10	6
ENSGALG00000008947	19	17	16	2	27	4	31	39	31	9	36
ENSGALG00000008918	63	126	256	142	171	119	219	186	180	219	224
ENSGALG00000008907	631	556	479	622	610	423	559	527	577	817	693
ENSGALG00000048955	0	6	0	7	7	0	2	0	0	5	5
ENSGALG00000008875	824	1042	487	851	711	530	459	436	401	622	493
ENSGALG00000028587	2139	2328	3156	3703	3452	2202	3472	2599	1639	2874	3315
ENSGALG00000008845	198	194	73	179	135	95	226	140	32	82	105
ENSGALG00000025215	10	7	0	7	0	3	5	4	0	2	3
ENSGALG00000054050	0	3	0	0	3	0	0	0	0	2	0
ENSGALG00000047394	2	8	1	3	28	22	18	8	9	1	13
ENSGALG00000046781	37	55	0	35	15	58	35	18	35	57	32
ENSGALG00000050683	7	3	0	15	13	2	10	0	0	5	23
ENSGALG00000029301	79	139	391	408	117	136	367	314	164	795	654
ENSGALG00000049310	56	64	39	46	77	3	30	8	46	30	32
ENSGALG00000008827	357	301	765	457	516	425	532	776	357	744	687
ENSGALG00000008815	535	803	765	874	1116	1538	2215	1352	790	1234	1156
ENSGALG00000008812	4373	4757	6254	5207	6358	5688	4476	5996	4626	3444	4200
ENSGALG00000008810	49	116	100	74	104	39	91	84	15	104	81
ENSGALG00000008808	2723	3125	5311	5731	3902	2833	4630	5409	2692	3160	4012
ENSGALG00000033140	369	330	856	652	497	545	621	825	442	830	955
ENSGALG00000008793	686	801	1559	1505	935	822	2209	2489	785	2399	2127
ENSGALG00000008749	1452	1514	2442	2345	2052	1488	1881	2448	1442	1838	2134
ENSGALG00000008731	297	394	270	396	503	210	427	377	223	262	276
ENSGALG00000008713	1991	2140	4466	3807	3692	2687	3530	3934	2190	5767	5054
ENSGALG00000008707	1662	1404	1748	2321	2413	1903	2638	3089	1280	2505	2447
ENSGALG00000053748	9	14	30	12	28	22	16	27	7	11	15
ENSGALG00000008702	9	21	0	15	23	4	22	11	6	13	7
ENSGALG00000008698	2553	2794	3393	4409	5382	4083	5247	5412	3497	2792	3620
ENSGALG00000008691	414	716	622	881	1407	843	1095	1919	1512	855	1340
ENSGALG00000047955	3	12	0	21	1	0	21	8	1	20	16
ENSGALG00000008676	1759	2222	1880	1837	2848	3457	2139	1624	2765	2626	1734
ENSGALG00000008667	9973	9103	20859	18798	11242	8127	17597	18987	9882	27317	22186
ENSGALG00000028520	2904	2781	4865	4115	4102	3356	3588	3739	4716	6549	6625
ENSGALG00000029121	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000051826	0	0	0	9	10	0	0	0	0	0	0
ENSGALG00000047091	0	0	0	0	0	0	1	0	2	0	6
ENSGALG00000039587	93	141	301	265	120	140	219	316	24	181	42
ENSGALG00000054552	0	0	0	2	1	0	14	0	0	0	0
ENSGALG00000008660	0	2	0	20	0	0	0	0	7	6	2
ENSGALG00000008651	373	328	1005	595	547	517	859	841	564	753	952
ENSGALG00000008632	47	64	31	124	17	27	15	42	61	71	60
ENSGALG00000008627	154	224	89	197	241	194	374	77	87	89	106
ENSGALG00000001661	12	42	17	33	43	9	57	30	24	38	78
ENSGALG00000008614	2986	3658	3180	2834	4216	3346	3647	3796	3282	4874	4272
ENSGALG00000032273	923	1276	843	997	1623	1434	1802	1347	1410	1201	1242
ENSGALG00000045228	2	4	6	12	7	1	6	5	0	14	6
ENSGALG00000028471	26	38	62	40	45	6	53	72	24	103	90
ENSGALG00000043290	2	0	2	2	3	0	1	3	2	2	2
ENSGALG00000049318	22	19	48	9	14	17	24	17	27	46	35
ENSGALG00000045514	91	237	234	250	230	319	346	194	266	527	379
ENSGALG00000037576	5	2	3	0	9	0	6	9	1	11	11
ENSGALG00000050172	0	0	2	0	0	1	1	0	0	0	0
ENSGALG00000008563	600	749	756	670	941	864	1031	1353	1203	793	1131
ENSGALG00000008552	49	21	45	30	22	49	40	35	23	70	33
ENSGALG00000008550	2216	2211	4783	5069	3084	2540	4075	5225	1728	4031	3454
ENSGALG00000053558	1	0	0	0	0	1	0	1	0	0	0
ENSGALG00000047092	0	1	1	0	4	0	0	1	0	0	0
ENSGALG00000008544	41	39	129	215	131	160	92	41	123	156	188
ENSGALG00000027071	0	0	0	5	1	0	0	0	1	1	3
ENSGALG00000008538	170	183	654	494	253	246	557	526	167	862	656
ENSGALG00000023506	803	941	820	923	1275	1277	1019	901	683	861	722
ENSGALG00000008530	2521	2401	7228	6227	3947	2566	5802	7045	2202	7307	6402
ENSGALG00000037289	816	826	853	918	875	444	920	912	686	1051	774
ENSGALG00000008504	2357	2744	3033	3813	3536	3570	3688	3638	2330	3094	2855
ENSGALG00000013828	106	138	165	107	108	200	102	246	122	221	221
ENSGALG00000038528	3622	4389	3698	3030	5193	5928	2041	3694	4896	2845	3133
ENSGALG00000013821	1787	1823	5536	4781	2211	1899	3490	4545	1373	3401	4122
ENSGALG00000033120	8594	10472	7561	5879	13073	12751	3776	6828	11507	7195	6792
ENSGALG00000041558	282	329	507	366	492	423	560	563	273	444	333
ENSGALG00000048345	35	95	48	30	63	53	80	49	22	56	64
ENSGALG00000053399	156	147	180	165	190	214	186	157	122	130	184
ENSGALG00000040307	63	42	220	106	160	58	197	117	59	94	83
ENSGALG00000013221	3	29	6	18	20	2	18	4	0	28	19
ENSGALG00000039450	783	745	612	982	722	261	1027	795	284	356	559
ENSGALG00000039720	518	581	404	650	500	338	698	492	416	664	623
ENSGALG00000009119	466	495	747	774	545	624	670	786	510	557	592
ENSGALG00000009130	861	1045	576	1245	1110	985	1078	1117	552	400	601
ENSGALG00000054185	16	16	27	6	8	21	20	0	3	25	10
ENSGALG00000052138	0	1	0	7	2	0	2	0	4	1	2
ENSGALG00000049137	272	297	67	190	348	201	319	414	359	149	195
ENSGALG00000046616	134	243	116	336	297	373	371	372	276	494	305
ENSGALG00000041077	0	0	0	0	1	0	0	1	0	0	0
ENSGALG00000009169	1720	1846	2297	2611	2413	2090	2352	3016	1944	2335	2597
ENSGALG00000009195	303	310	732	703	442	367	744	660	275	740	626
ENSGALG00000009214	265	167	496	386	352	244	430	473	321	1186	584
ENSGALG00000055061	6	27	1	27	2	53	49	17	2	63	41
ENSGALG00000009219	0	0	0	0	0	0	0	1	0	0	2
ENSGALG00000050974	0	0	0	0	0	1	11	0	0	0	0
ENSGALG00000054640	0	0	4	0	0	0	6	0	0	0	0
ENSGALG00000053542	0	9	22	0	8	46	31	42	5	33	66
ENSGALG00000009228	9232	11224	9651	9118	16508	13437	11755	11749	9687	8583	9799
ENSGALG00000009233	1003	1015	716	1119	1282	1204	833	898	731	635	854
ENSGALG00000027018	21	23	48	36	20	6	74	39	10	45	63
ENSGALG00000033786	3	3	0	6	3	3	2	0	2	0	0
ENSGALG00000009246	716	714	1364	1405	974	690	1402	1664	611	2068	1739
ENSGALG00000020078	3576	2669	11566	8279	4285	3516	7547	8702	4078	17261	10675
ENSGALG00000009253	709	540	1287	1500	593	663	964	1432	374	2061	1255
ENSGALG00000009256	0	12	0	4	22	9	7	15	0	42	53
ENSGALG00000009275	122	87	109	79	167	41	195	132	258	277	345
ENSGALG00000009291	792	767	513	1013	1086	875	1147	1427	938	436	703
ENSGALG00000026009	1803	1632	3156	2534	2668	2430	2380	2896	1953	2092	2329
ENSGALG00000009303	1924	2009	1405	2497	2729	1626	2801	2456	1477	3260	2253
ENSGALG00000009305	2281	2395	3436	2733	2644	1304	2706	3198	1432	3421	3730
ENSGALG00000009308	22	9	0	19	0	13	6	6	1	9	24
ENSGALG00000043081	287	383	480	521	361	184	562	504	215	568	601
ENSGALG00000030269	3061	2922	4424	3674	4141	2949	3375	3899	3026	2824	2756
ENSGALG00000009322	1514	1613	1554	1468	2033	1519	1434	1727	836	1133	1018
ENSGALG00000009330	2953	2922	3485	3952	4767	4651	5288	5801	3769	3403	4402
ENSGALG00000009331	349	228	668	397	425	384	402	472	252	750	538
ENSGALG00000042816	2881	3158	3728	3693	5201	4383	4625	3968	2460	3976	4351
ENSGALG00000009360	267	228	254	315	304	182	388	262	93	198	247
ENSGALG00000009382	19	95	30	139	170	83	135	27	173	123	241
ENSGALG00000009388	2	13	39	53	44	2	56	2	40	53	34
ENSGALG00000009392	61	22	0	54	6	6	48	20	70	21	50
ENSGALG00000054469	776	981	1107	1334	733	859	1658	1017	1020	1038	953
ENSGALG00000009413	1198	1148	1298	1276	1545	1623	1341	1439	1890	898	879
ENSGALG00000009426	1359	1322	2122	1742	1591	1163	2144	1930	1129	2887	2821
ENSGALG00000041034	2034	2225	1909	2214	3098	1310	2495	2256	1118	2291	1868
ENSGALG00000009441	119	159	155	268	249	226	241	322	182	290	225
ENSGALG00000045729	29	36	38	44	21	15	35	31	67	63	60
ENSGALG00000052742	0	0	0	0	1	0	0	0	0	0	0
ENSGALG00000009450	238	276	359	464	371	325	449	418	286	332	509
ENSGALG00000053049	0	10	1	0	0	0	0	0	0	1	0
ENSGALG00000053880	0	0	0	0	1	0	1	0	0	4	0
ENSGALG00000053755	0	0	0	1	0	0	2	0	0	1	0
ENSGALG00000037257	11	6	0	3	8	3	1	5	57	85	49
ENSGALG00000009453	468	708	1795	1652	1141	696	1492	1490	548	1754	1458
ENSGALG00000009457	3	0	0	2	10	2	19	4	0	3	12
ENSGALG00000034303	3	1	14	3	0	0	21	11	18	37	29
ENSGALG00000009483	879	863	1033	1506	1085	938	1504	1429	740	1387	1372
ENSGALG00000009503	1505	1450	1886	2212	1882	1675	2439	1939	875	2437	1987
ENSGALG00000009566	955	709	1649	1597	1102	621	1668	1491	598	2171	1861
ENSGALG00000009576	510	717	752	1101	1066	841	1008	1466	1202	928	970
ENSGALG00000018317	1	1	0	2	4	5	1	1	0	0	2
ENSGALG00000018318	6	1	0	0	4	1	2	0	0	6	0
ENSGALG00000009598	13878	14138	10760	13818	17170	14100	13033	12264	9981	10001	10903
ENSGALG00000026727	0	1	0	0	0	10	3	8	0	8	14
ENSGALG00000047985	0	0	4	0	0	1	0	0	0	0	6
ENSGALG00000026385	376	533	727	755	672	443	596	642	513	755	521
ENSGALG00000051126	0	0	2	0	0	0	0	0	2	0	0
ENSGALG00000051934	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047278	12	0	0	0	8	6	1	0	0	0	13
ENSGALG00000055063	0	0	0	9	3	1	1	0	2	0	0
