 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,15.613,11.340,0,32,177.054,3436.000
2,Cad6B:background,47.613,11.267,1,35,536.469,10411.000
3,Cad6B:background,27.671,11.013,0,32,304.743,5914.000
4,Cad6B:Cntl,2624.269,51.974,0,2402,136392.647,2646910.000
5,Cad6B:Expt,2864.961,54.332,0,1931,155658.312,3020790.000
6,Snai2:background,15.613,11.637,1,35,181.691,3526.000
7,Snai2:background,47.613,11.889,1,32,566.046,10985.000
8,Snai2:background,27.671,11.434,1,35,316.388,6140.000
9,Snai2:Cntl,2624.269,274.801,0,2581,721153.054,13995089.000
10,Snai2:Expt,2864.961,224.922,0,1806,644393.846,12505458.000
