 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,27.053,8.510,0,26,230.232,4468.000
2,Cad6B:background,35.246,8.848,0,33,311.854,6052.000
3,Cad6B:background,28.496,8.503,0,24,242.289,4702.000
4,Cad6B:Cntl,3782.487,112.696,0,8695,426269.803,8272424.000
5,Cad6B:Expt,3702.668,148.721,0,2648,550665.569,10686516.000
6,Snai2:background,27.053,13.739,0,33,371.679,7213.000
7,Snai2:background,35.246,13.314,1,44,469.275,9107.000
8,Snai2:background,28.496,13.121,0,39,373.894,7256.000
9,Snai2:Cntl,3782.487,206.023,0,1440,779279.372,15123120.000
10,Snai2:Expt,3702.668,172.664,0,747,639315.868,12406912.000
