 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,14.995,11.017,1,27,165.202,3206.000
2,Cad6B:background,29.217,10.838,0,33,316.646,6145.000
3,Cad6B:background,32.927,11.067,0,31,364.413,7072.000
4,Cad6B:Cntl,1932.905,58.848,0,1236,113746.730,2207431.000
5,Cad6B:Expt,2437.580,77.738,0,7432,189492.465,3677394.000
6,Snai2:background,14.995,10.254,1,27,153.763,2984.000
7,Snai2:background,29.217,10.243,0,39,299.280,5808.000
8,Snai2:background,32.927,10.515,0,29,346.223,6719.000
9,Snai2:Cntl,1932.905,425.910,0,3186,823243.664,15976315.000
10,Snai2:Expt,2437.580,289.905,0,2091,706666.600,13713957.000
