 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,2.422,11.064,2,31,26.795,520
2,Cad6B:background,4.998,10.165,2,25,50.808,986
3,Cad6B:background,6.029,9.274,1,23,55.909,1085
4,Cad6B:Cntl,2417.896,48.989,0,2353,118449.679,2298699
5,Cad6B:Expt,3384.580,51.094,0,8220,172932.433,3356021
6,Snai2:background,2.422,29.340,3,61,71.059,1379
7,Snai2:background,4.998,25.392,4,55,126.916,2463
8,Snai2:background,6.029,26.265,0,68,158.349,3073
9,Snai2:Cntl,2417.896,508.812,0,4101,1230253.882,23874977
10,Snai2:Expt,3384.580,149.916,0,1686,507403.205,9846943
