 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,35.400,9.638,0,35,341.174,6621
2,Cad6B:background,30.763,9.494,0,28,292.066,5668
3,Cad6B:background,46.994,9.613,0,31,451.755,8767
4,Cad6B:Cntl,2783.339,57.063,0,4678,158824.409,3082233
5,Cad6B:Expt,3114.877,73.514,0,6235,228988.316,4443872
6,Snai2:background,35.400,12.255,1,36,433.823,8419
7,Snai2:background,30.763,11.817,0,40,363.537,7055
8,Snai2:background,46.994,12.348,0,37,580.268,11261
9,Snai2:Cntl,2783.339,510.046,1,3652,1419631.231,27550137
10,Snai2:Expt,3114.877,388.665,0,3077,1210644.054,23494418
