 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,25.661,9.542,0,26,244.866,4752.000
2,Cad6B:background,22.261,9.264,1,25,206.219,4002.000
3,Cad6B:background,41.893,9.806,1,32,410.789,7972.000
4,Cad6B:Cntl,2265.576,42.166,0,6855,95529.319,1853894.000
5,Cad6B:Expt,3788.000,48.198,0,1733,182572.274,3543097.000
6,Snai2:background,25.661,91.161,18,181,2339.314,45398.000
7,Snai2:background,22.261,94.669,25,176,2107.382,40897.000
8,Snai2:background,41.893,92.606,8,185,3879.567,75289.000
9,Snai2:Cntl,2265.576,766.996,7,4308,1737686.664,33722494.000
10,Snai2:Expt,3788.000,421.712,0,2175,1597443.925,31000867.000
