 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,50.705,9.642,0,27,488.907,9488.000
2,Cad6B:background,30.917,9.668,0,26,298.920,5801.000
3,Cad6B:background,29.217,9.824,0,31,287.017,5570.000
4,Cad6B:Cntl,3538.806,48.777,0,1618,172611.717,3349797.000
5,Cad6B:Expt,4176.014,41.892,0,1338,174939.694,3394975.000
6,Snai2:background,50.705,69.658,11,142,3531.953,68543.000
7,Snai2:background,30.917,72.400,1,134,2238.420,43440.000
8,Snai2:background,29.217,71.323,7,138,2083.833,40440.000
9,Snai2:Cntl,3538.806,609.528,1,4112,2156999.793,41859913.000
10,Snai2:Expt,4176.014,297.051,1,3153,1240490.841,24073641.000
