 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,65.545,8.605,0,23,563.985,10945.000
2,Cad6B:background,73.738,8.565,0,28,631.540,12256.000
3,Cad6B:background,32.463,8.743,1,24,283.822,5508.000
4,Cad6B:Cntl,3533.962,135.750,0,4443,479736.250,9310023.000
5,Cad6B:Expt,4045.388,143.312,0,1619,579751.993,11250983.000
6,Snai2:background,65.545,13.872,0,44,909.229,17645.000
7,Snai2:background,73.738,13.856,0,47,1021.717,19828.000
8,Snai2:background,32.463,13.951,0,40,452.888,8789.000
9,Snai2:Cntl,3533.962,183.305,0,1251,647792.854,12571421.000
10,Snai2:Expt,4045.388,187.164,0,869,757152.610,14693716.000
