 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,4.535,10.045,1,34,45.552,884.000
2,Cad6B:background,4.792,8.312,1,22,39.832,773.000
3,Cad6B:background,9.172,9.725,1,30,89.197,1731.000
4,Cad6B:Cntl,1982.115,51.056,0,3086,101198.540,1963914.000
5,Cad6B:Expt,3192.840,43.468,0,2244,138785.345,2693344.000
6,Snai2:background,4.535,36.568,8,80,165.820,3218.000
7,Snai2:background,4.792,38.860,6,111,186.226,3614.000
8,Snai2:background,9.172,36.197,4,75,332.001,6443.000
9,Snai2:Cntl,1982.115,558.753,1,4121,1107512.867,21492998.000
10,Snai2:Expt,3192.840,208.331,0,1777,665167.456,12908602.000
