 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,37.874,9.703,0,30,367.505,7132.000
2,Cad6B:background,46.222,9.525,0,30,440.264,8544.000
3,Cad6B:background,31.690,9.717,1,28,307.937,5976.000
4,Cad6B:Cntl,2653.229,59.431,0,1551,157684.536,3060112.000
5,Cad6B:Expt,3012.437,87.893,0,8046,264772.687,5138323.000
6,Snai2:background,37.874,17.675,1,48,669.413,12991.000
7,Snai2:background,46.222,17.921,1,51,828.329,16075.000
8,Snai2:background,31.690,18.145,2,51,575.012,11159.000
9,Snai2:Cntl,2653.229,357.549,0,3103,948660.323,18410219.000
10,Snai2:Expt,3012.437,336.534,0,2598,1013788.300,19674128.000
