 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,29.526,8.852,1,28,261.355,5072
2,Cad6B:background,32.772,8.700,0,24,285.110,5533
3,Cad6B:background,27.980,8.959,0,25,250.689,4865
4,Cad6B:Cntl,3378.293,121.894,0,2060,411794.738,7991513
5,Cad6B:Expt,3877.815,122.934,0,3498,476713.455,9251361
6,Snai2:background,29.526,14.031,1,43,414.293,8040
7,Snai2:background,32.772,14.722,1,42,482.466,9363
8,Snai2:background,27.980,13.982,0,38,391.208,7592
9,Snai2:Cntl,3378.293,259.159,0,1190,875514.123,16990704
10,Snai2:Expt,3877.815,184.741,0,663,716389.661,13902648
