 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,73.893,8.699,0,28,642.773,12474
2,Cad6B:background,88.578,8.526,1,27,755.209,14656
3,Cad6B:background,115.013,9.534,0,40,1096.486,21279
4,Cad6B:Cntl,3959.592,145.031,0,2806,574262.505,11144451
5,Cad6B:Expt,4017.871,144.062,0,3000,578820.864,11232913
6,Snai2:background,73.893,13.331,0,37,985.029,19116
7,Snai2:background,88.578,12.934,0,41,1145.696,22234
8,Snai2:background,115.013,14.289,0,53,1643.466,31894
9,Snai2:Cntl,3959.592,231.879,0,1325,918145.514,17818032
10,Snai2:Expt,4017.871,198.395,0,1153,797125.001,15469442
