,Embryo,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,Norm Cntl CTCF,Norm Expt CTCF
0,Emb1,20190322,98564.74443844445,116925.09725400001,1.1872833163241296,0.46484684354732736,0.5514371563549296
1,Emb2,20190322,251726.9419022222,228187.24347233333,1.1404912525688748,1.1871838662570389,1.0761669445825395
2,Emb3,20190322,120436.48078977778,144740.73998266665,1.2042800616848646,0.5679973936120731,0.6826201041455151
3,Emb3,20190930,511954.4553127778,651599.1534726666,1.2677589936050635,2.414457765278936,3.073044134346054
4,Emb5,20190322,100620.42541177776,121321.52591511111,1.2410517913617143,0.47454175847089886,0.5721714056815214
5,Emb5,20190930,398567.5680122222,488862.6738318889,1.2263989304660887,1.879707363787897,2.305553290413894
6,Emb6,20190322,136035.98885022223,198904.68461,1.4721614165104426,0.6415671281464869,0.9380657894920867
7,Emb8,20190322,78389.64092388889,125716.45211333333,1.6173143050123013,0.3696978808993423,0.5928985691567225
