,Date,Embryo,Treatment,FOV,ROI,Area,H2BRFP Mean,H2BRFP LRP6 IntDen,H2BRFP CTCF,Surface LRP6 Mean,Surface LRP6 IntDen,Surface LRP6 CTCF,Internal LRP6 Mean,Internal LRP6 IntDen,Internal LRP6 CTCF,Total LRP6 CTCF,Internal / Surface LRP6 CTCF,Internalized Fraction CTCF,Total LRP6 Mean,Internalized Fraction Mean,Total LRP6 IntDen,Internalized Fraction IntDen,Internal / RFP,Norm
0,20210807,Emb8,SMPD3MO,FOV5,0004-0414-0767,335.248,1493.123,500565.833,407192.895288,343.962,115312.489,90531.962584,435.234,145911.18,40381.14406400001,130913.106648,0.44604295445967385,0.30845761053228293,779.1959999999999,0.5585680624643864,261223.669,0.5585679910192212,0.29149239546909395,0.0003740938037016283
1,20210807,Emb4,ControlMO,FOV4,0004-0348-0333,245.85,2259.733,555554.33,484692.24694999994,300.02,73759.715,54106.9577,487.152,119766.147,43897.082850000006,98004.04055,0.8113019973030198,0.44791094942258486,787.172,0.6188634758350144,193525.862,0.6188637826607382,0.21557945120065067,0.00027386575132328216
2,20210807,Emb4,ControlMO,FOV4,0004-0418-0276,193.201,905.623,174966.814,119279.91016700002,230.337,44501.198,29057.096461999994,486.986,94085.924,34464.288601,63521.385062999994,1.1860885221643316,0.5425619823437193,717.323,0.6788936085975216,138587.122,0.6788936998056717,0.5377359011420867,0.0007496426312025219
3,20210807,Emb4,ControlMO,FOV4,0004-0396-0111,233.718,1164.925,272263.777,204898.53670599998,253.471,59240.827,40557.87751599999,435.687,101827.927,29702.78591800001,70260.663434,0.7323555308406443,0.42275128736724205,689.158,0.632201904352848,161068.754,0.6322016186950823,0.37400433504302855,0.0005426975164520016
4,20210807,Emb4,ControlMO,FOV4,0004-0508-0533,363.929,979.071,356311.745,251415.397543,152.672,55561.87,26470.113598000004,345.011,125559.438,13251.312529000003,39721.426127000006,0.5006141163671178,0.33360616224180917,497.683,0.6932344484340435,181121.308,0.693233940205423,0.3523860884450668,0.0007080532958631636
5,20210807,Emb4,ControlMO,FOV4,0004-0693-0457,158.951,2181.288,346717.099,300902.17541699996,398.608,63358.981,50652.755961999996,533.251,84760.525,35708.405351,86361.16131299999,0.7049647086880853,0.4134775958093189,931.8589999999999,0.5722442987619372,148119.506,0.572244178292088,0.24446611359893786,0.0002623423861323847
6,20210807,Emb4,ControlMO,FOV4,0004-0307-0782,127.052,1258.567,159903.745,123283.16588399999,303.98,38621.402,28465.119224000002,663.799,84337.129,45129.008852,73594.128076,1.5854143626403663,0.6132148043848781,967.779,0.6858993633877155,122958.531,0.6858989637734042,0.5274244438317547,0.0005449843857241732
7,20210807,Emb4,ControlMO,FOV4,0004-0878-0645,289.466,2714.772,785834.832,702401.178422,236.826,68553.258,45413.924891999995,436.352,126309.226,36980.307866,82394.232758,0.8142944692391995,0.4488215573851488,673.178,0.6481970593216059,194862.484,0.6481967354988659,0.16073246666755073,0.0002387666659747507
8,20210807,Emb4,ControlMO,FOV4,0004-0862-0433,245.515,2701.584,663279.339,592513.814005,354.63,87067.007,67441.02893,463.952,113907.191,38141.50751500002,105582.53644500002,0.5655534638207961,0.36124825941142896,818.582,0.5667752283827399,200974.198,0.566775198675006,0.17173332385741108,0.00020979367229845153
9,20210807,Emb3,SMPD3MO,FOV11,0004-0641-0153,462.408,2930.344,1355014.699,1223595.570952,267.413,123654.038,89567.169872,495.517,229131.01,80276.32590400003,169843.49577600003,0.896269537361988,0.4726488084646665,762.9300000000001,0.6494920897067883,352785.048,0.6494918401417058,0.1690985768223799,0.00022164363286589843
10,20210807,Emb3,SMPD3MO,FOV11,0004-0723-1089,418.831,2732.354,1144393.767,1025359.4838139999,233.899,97964.211,67089.665004,451.85,189248.816,54422.091128,121511.756132,0.8111844219933915,0.44787510986904416,685.749,0.6589145591171114,287213.027,0.6589144579434414,0.16537022655190362,0.00024115270536581695
11,20210807,Emb3,SMPD3MO,FOV11,0004-0459-0937,315.186,1249.49,393821.378,304243.625684,270.323,85202.025,61967.773823999996,448.093,141232.364,39770.20836800002,101737.98219200002,0.6417885606308016,0.39090816931031364,718.4159999999999,0.6237235807665754,226434.389,0.6237231218443591,0.3586207172526391,0.0004991825310859434
12,20210807,Emb3,SMPD3MO,FOV11,0004-1036-0316,272.878,5874.298,1602964.096,1525410.5311319998,238.831,65171.717,45056.242352,547.201,149318.755,61476.05226400001,106532.29461600001,1.3644291901601766,0.5770649405947084,786.032,0.6961561361369512,214490.472,0.6961556548768283,0.09315172638500806,0.00011850882201361783
13,20210807,Emb3,SMPD3MO,FOV11,0004-0919-0262,226.752,5516.697,1250921.251,1186476.9720879998,178.917,40569.77,23854.519567999996,419.063,95023.265,22029.075176,45883.594743999995,0.9234759523537516,0.48010787513287956,597.98,0.7007976855413224,135593.035,0.7007975372776337,0.0759626638910928,0.00012703211460432255
14,20210807,Emb3,SMPD3MO,FOV11,0004-0975-0557,252.284,4156.873,1048713.791,977013.1644959999,162.155,40909.199,22311.831656000002,389.834,98348.881,17135.633992000003,39447.465648000005,0.7680066009906436,0.4343912520237858,551.989,0.7062350880180583,139258.08,0.7062346472104168,0.0937805893997724,0.00016989575770490423
15,20210807,Emb8,ControlMO,FOV6,0004-0204-0626,137.295,2413.401,331347.414,294588.187995,818.329,112352.239,98785.433575,770.47,105781.512,62305.265415,161090.69899,0.6307130835002766,0.3867713394108974,1588.799,0.48493862345079525,218133.751,0.4849387658492152,0.3192465736112648,0.00020093578458399382
