,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
252,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV2,0003-0817-1489,577.12,299.914,173086.215,115184.91964000001
253,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV2,0003-1159-0954,724.0139999999999,189.62099999999998,137288.413,64649.536408000014
254,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV2,0003-1537-0813,603.072,702.551,423688.81899999996,363183.81138399994
255,20210807,Emb2,SMPD3MO,FOV4,0003-0636-1876,2275.775,202.72,461345.335,160258.02672499995
256,20210807,Emb2,SMPD3MO,FOV4,0003-0834-2199,1129.224,412.251,465523.092,316125.627576
257,20210807,Emb2,SMPD3MO,FOV4,0003-1593-1078,804.174,167.898,135019.585,28626.560625999977
258,20210807,Emb2,SMPD3MO,FOV4,0003-1135-1047,518.658,375.24800000000005,194625.43600000002,126006.463942
259,20210807,Emb2,SMPD3MO,FOV4,0003-1365-0900,896.666,414.539,371703.227,253073.418534
260,20210807,Emb2,SMPD3MO,FOV4,0003-1768-0957,894.2860000000001,549.851,491723.67,373408.73791399994
261,20210807,Emb2,SMPD3MO,FOV4,0003-1735-0454,567.714,254.345,144395.101,69285.97108599998
262,20210807,Emb2,SMPD3MO,FOV4,0003-2419-0973,1873.3370000000002,260.35,487723.261,239878.90256299995
263,20210807,Emb2,SMPD3MO,FOV4,0003-0424-0663,629.688,312.801,196966.983,113658.630912
264,20210807,Emb2,SMPD3MO,FOV4,0003-0363-0451,508.199,400.89,203731.958,136496.72210100002
265,20210807,Emb1,ControlMO,FOV3,0003-0498-2004,761.284,358.579,272980.81,180787.795032
266,20210807,Emb1,ControlMO,FOV3,0003-0766-1689,728.932,435.746,317629.12100000004,229353.99793600006
267,20210807,Emb1,ControlMO,FOV3,0003-1705-1816,1014.8380000000001,522.952,530711.943,407813.031524
268,20210807,Emb1,ControlMO,FOV3,0003-2187-2383,1393.236,321.625,448099.06899999996,279375.40292799997
269,20210807,Emb1,ControlMO,FOV3,0003-1705-2438,1658.901,295.406,490049.276,289153.047098
270,20210807,Emb1,ControlMO,FOV3,0003-1434-2341,683.388,233.53400000000002,159594.044,76834.39042399998
271,20210807,Emb1,ControlMO,FOV3,0003-1528-1483,972.924,462.384,449863.939,332040.89675200003
272,20210807,Emb1,ControlMO,FOV3,0003-1290-1183,708.677,278.606,197442.05,111619.84794599998
273,20210807,Emb1,ControlMO,FOV3,0003-2043-1857,659.426,714.176,470945.994,391088.18654799997
274,20210807,Emb1,ControlMO,FOV3,0003-1602-0796,594.643,1805.754,1073777.897,1001765.4404140001
275,20210807,Emb1,ControlMO,FOV3,0003-0439-1387,843.318,777.413,655606.436,553478.939564
276,20210807,Emb1,ControlMO,FOV3,0003-0277-1569,773.5,405.76599999999996,313860.00800000003,220187.61100000003
277,20210807,Emb6,SMPD3FLAG,FOV1,0003-0445-0649,753.128,1489.484,1121771.848,1032691.115032
278,20210807,Emb6,SMPD3FLAG,FOV1,0003-0342-0516,704.579,619.0459999999999,436166.698,352828.389301
279,20210807,Emb6,SMPD3FLAG,FOV1,0003-0331-0862,885.9730000000001,352.269,312100.498,207306.72558700002
280,20210807,Emb6,SMPD3FLAG,FOV1,0003-1183-0700,666.06,304.613,202890.825,124108.58214000001
281,20210807,Emb6,SMPD3FLAG,FOV1,0003-0841-0403,775.061,451.17400000000004,349687.015,258012.024859
282,20210807,Emb6,SMPD3FLAG,FOV1,0003-1087-0313,806.477,693.648,559411.006,464020.09996300004
283,20210807,Emb6,SMPD3FLAG,FOV1,0003-1558-2374,1260.43,356.12300000000005,448867.80700000003,299782.88617
284,20210807,Emb6,SMPD3FLAG,FOV1,0003-2377-1392,861.2310000000001,241.72299999999998,208179.542,106312.27808899997
285,20210807,Emb6,SMPD3FLAG,FOV1,0003-1785-1486,889.681,422.379,375782.11799999996,270549.75963899994
286,20210807,Emb6,SMPD3FLAG,FOV1,0003-1869-1267,894.325,407.76300000000003,364672.992,258891.33667500003
287,20210807,Emb6,SMPD3FLAG,FOV1,0003-2139-1656,1527.486,283.26599999999996,432684.284,252011.71243399996
288,20210807,Emb6,SMPD3FLAG,FOV1,0003-2461-2032,791.6469999999999,297.793,235746.675,142109.876193
289,20210807,Emb6,SMPD3FLAG,FOV1,0003-2292-2067,1054.684,389.19800000000004,410481.12299999996,285732.04479599994
290,20210807,Emb6,SMPD3FLAG,FOV1,0003-0313-0252,659.6210000000001,582.67,384341.374,306320.742499
291,20210807,Emb6,SMPD3FLAG,FOV1,0003-2262-0432,705.0089999999999,239.72799999999998,169010.343,85621.173471
292,20210807,Emb6,SMPD3FLAG,FOV1,0003-2112-0255,813.658,1180.52,960538.793,864298.5111019999
293,20210807,Emb6,SMPD3FLAG,FOV1,0003-2524-0499,514.8340000000001,498.68199999999996,256738.254,195843.17364599998
294,20210807,Emb3,SMPD3MO,FOV1,0003-1179-1425,951.576,176.683,168126.945,61588.49604000001
295,20210807,Emb3,SMPD3MO,FOV1,0003-1266-2181,402.048,590.849,237549.79,192536.49592000002
296,20210807,Emb3,SMPD3MO,FOV1,0003-0310-0817,704.696,435.50699999999995,306900.41,228002.64583999998
297,20210807,Emb3,SMPD3MO,FOV1,0003-0850-1933,351.00199999999995,273.165,95881.49,56583.30608000001
298,20210807,Emb3,SMPD3MO,FOV1,0003-0772-1857,350.455,611.066,214151.516,174914.5742
299,20210807,Emb3,SMPD3MO,FOV1,0003-1828-1764,548.0840000000001,321.062,175969.017,114605.53235999998
300,20210807,Emb3,SMPD3MO,FOV1,0003-2178-2079,632.966,310.959,196826.853,125959.97964
301,20210807,Emb3,SMPD3MO,FOV1,0003-1803-1347,448.88,214.153,96129.03300000001,45872.42820000002
302,20210807,Emb3,SMPD3MO,FOV1,0003-2214-2416,709.341,451.795,320476.657,241058.83864000003
303,20210807,Emb6,SMPD3FLAG,FOV2,0003-0504-1953,1085.4360000000001,286.927,311440.55199999997,173510.94317199994
304,20210807,Emb6,SMPD3FLAG,FOV2,0003-0441-1351,1053.6689999999999,304.863,321224.828,187331.947163
305,20210807,Emb6,SMPD3FLAG,FOV2,0003-1009-1324,1016.555,402.54900000000004,409213.213,280036.519485
306,20210807,Emb6,SMPD3FLAG,FOV2,0003-1396-1519,867.865,231.423,200844.056,90561.84685500001
307,20210807,Emb6,SMPD3FLAG,FOV2,0003-1564-1228,1256.098,265.186,333099.609,173483.467846
308,20210807,Emb6,SMPD3FLAG,FOV2,0003-1960-1522,1598.046,337.334,539075.535,336007.03564200003
309,20210807,Emb6,SMPD3FLAG,FOV2,0003-1923-1122,761.909,730.049,556230.603,459412.54064300004
310,20210807,Emb6,SMPD3FLAG,FOV2,0003-1647-1047,1112.442,434.906,483807.904,342446.561734
311,20210807,Emb6,SMPD3FLAG,FOV2,0003-2265-0462,923.868,760.125,702255.322,584856.643636
312,20210807,Emb6,SMPD3FLAG,FOV2,0003-2092-0690,943.42,341.403,322086.345,202203.13533999998
313,20210807,Emb6,SMPD3FLAG,FOV2,0003-1066-1866,1222.028,529.6709999999999,647273.154,491986.389956
314,20210807,Emb6,SMPD3FLAG,FOV2,0003-1275-0507,934.4830000000001,365.08099999999996,341161.841,222414.282741
315,20210807,Emb6,SMPD3FLAG,FOV2,0003-1285-0280,476.939,252.597,120473.26400000001,59867.19445300001
316,20210807,Emb6,SMPD3FLAG,FOV2,0003-0733-0687,584.144,366.99800000000005,214379.923,140150.99248800002
317,20210807,Emb6,SMPD3FLAG,FOV2,0003-0387-0358,396.62300000000005,896.691,355648.66,305248.585521
318,20210807,Emb6,SMPD3FLAG,FOV2,0003-0121-2094,1116.228,596.839,666208.845,524366.404356
319,20210807,Emb6,SMPD3FLAG,FOV2,0003-2400-1129,415.941,411.01800000000003,170959.62399999998,118104.75330699998
320,20210807,Emb7,SMPD3FLAG,FOV3,0003-2493-0772,1446.1429999999998,290.486,420083.60299999994,251544.31320799998
321,20210807,Emb7,SMPD3FLAG,FOV3,0003-2299-1014,2028.765,617.535,1252834.005,1016393.6168399999
322,20210807,Emb7,SMPD3FLAG,FOV3,0003-2175-1315,1177.8110000000001,612.756,721711.2059999999,584444.4008159998
323,20210807,Emb7,SMPD3FLAG,FOV3,0003-2131-1600,635.191,478.336,303834.706,229807.006096
324,20210807,Emb7,SMPD3FLAG,FOV3,0003-2406-1639,1188.856,185.50900000000001,220543.06100000002,81989.02733600003
325,20210807,Emb7,SMPD3FLAG,FOV3,0003-2035-2086,750.4739999999999,1107.815,831386.293,743923.0511439999
326,20210807,Emb7,SMPD3FLAG,FOV3,0003-1951-2436,601.628,1119.769,673684.343,603568.209368
327,20210807,Emb7,SMPD3FLAG,FOV3,0003-1906-1971,844.2539999999999,358.228,302435.12100000004,204042.38282400006
328,20210807,Emb7,SMPD3FLAG,FOV3,0003-1921-1228,668.207,296.58299999999997,198178.96899999998,120303.45239199999
329,20210807,Emb7,SMPD3FLAG,FOV3,0003-1597-1147,469.603,427.904,200944.887,146215.474968
330,20210807,Emb7,SMPD3FLAG,FOV3,0003-1249-1453,751.567,296.462,222811.395,135220.77055199997
331,20210807,Emb7,SMPD3FLAG,FOV3,0003-0547-0697,547.538,1111.0919999999999,608364.833,544552.564328
332,20210807,Emb7,SMPD3FLAG,FOV3,0003-0588-0940,713.933,452.671,323176.464,239971.85644799998
333,20210807,Emb7,SMPD3FLAG,FOV3,0003-0487-1636,835.7860000000001,349.064,291742.666,194336.822416
334,20210807,Emb7,SMPD3FLAG,FOV3,0003-0406-2146,787.159,481.305,378863.706,287125.047504
335,20210807,Emb7,SMPD3FLAG,FOV3,0003-0366-1231,808.155,249.32,201489.277,107303.66068
336,20210807,Emb7,SMPD3FLAG,FOV3,0003-0913-1227,712.502,309.072,220214.551,137176.71791200002
337,20210807,Emb7,SMPD3FLAG,FOV3,0003-1059-0873,733.3810000000001,545.38,399970.816,314499.660736
338,20210807,Emb7,SMPD3FLAG,FOV3,0003-1360-1099,401.463,718.4739999999999,288440.527,241652.423128
339,20210807,Emb7,SMPD3FLAG,FOV3,0003-1446-1155,757.694,337.45599999999996,255688.175,167383.485464
340,20210807,Emb2,SMPD3MO,FOV3,0003-0354-0331,879.2610000000001,155.691,136893.37699999998,33785.07731299996
341,20210807,Emb2,SMPD3MO,FOV3,0003-0595-0327,960.747,158.516,152293.449,39629.53055099999
342,20210807,Emb2,SMPD3MO,FOV3,0003-0523-0675,636.323,388.51300000000003,247219.35600000003,172599.66675900004
343,20210807,Emb2,SMPD3MO,FOV3,0003-1506-1297,741.1469999999999,244.921,181522.539,94610.453751
344,20210807,Emb2,SMPD3MO,FOV3,0003-1449-0997,515.575,389.902,201024.11,140564.176475
345,20210807,Emb2,SMPD3MO,FOV3,0003-1581-0790,770.6510000000001,282.203,217479.84100000001,127107.910183
346,20210807,Emb2,SMPD3MO,FOV3,0003-1881-1492,722.414,853.078,616275.785,531560.4624620001
347,20210807,Emb2,SMPD3MO,FOV3,0003-1776-1233,698.413,223.239,155913.078,74012.280729
348,20210807,Emb2,SMPD3MO,FOV3,0003-1707-1011,451.846,254.612,115045.263,62058.638118
349,20210807,Emb2,SMPD3MO,FOV3,0003-1326-0481,500.784,151.342,75789.517,17064.079672
350,20210807,Emb2,SMPD3MO,FOV3,0003-1254-0243,458.01199999999994,539.4209999999999,247061.169,193351.47579599998
351,20210807,Emb2,SMPD3MO,FOV3,0003-1335-1053,449.543,245.33599999999998,110288.95599999999,57572.39701899999
352,20210807,Emb2,SMPD3MO,FOV3,0003-1230-1090,491.965,181.576,89328.92300000001,31637.663345000008
353,20210807,Emb2,SMPD3MO,FOV3,0003-1338-1315,226.079,284.975,64426.747,37915.140907
354,20210807,Emb3,SMPD3MO,FOV2,0003-1080-1690,1187.022,297.598,353255.364,208255.878612
355,20210807,Emb3,SMPD3MO,FOV2,0003-1668-1338,2092.235,302.20799999999997,632290.468,376715.59381
356,20210807,Emb3,SMPD3MO,FOV2,0003-1635-1065,675.0369999999999,233.798,157822.202,75363.732302
357,20210807,Emb3,SMPD3MO,FOV2,0003-2461-0955,1330.7160000000001,294.20799999999997,391507.33,228955.047736
358,20210807,Emb3,SMPD3MO,FOV2,0003-0261-1867,414.73199999999997,503.38800000000003,208770.776,158109.603272
359,20210807,Emb3,SMPD3MO,FOV2,0003-0564-1900,492.70599999999996,394.358,194302.55899999998,134116.550276
360,20210807,Emb3,SMPD3MO,FOV2,0003-0501-1941,510.346,418.37199999999996,213514.673,151173.867716
361,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV1,0003-0381-1629,810.4580000000001,432.56300000000005,350574.328,276392.29680199997
362,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV1,0003-0165-1861,1022.058,228.187,233219.818,139669.82720200001
363,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV1,0003-1002-0538,595.189,1424.763,848003.1240000001,793524.8796410001
364,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV1,0003-0913-0727,737.7130000000001,414.97,306128.277,238604.668397
365,20210807,Emb10,SMPD3MO;SMPD3FLAG,FOV1,0003-0796-0498,441.582,409.505,180829.98,140411.537958
366,20210807,Emb5,SMPD3FLAG,FOV3,0003-0762-2134,903.9639999999999,376.51,340351.956,227614.989704
367,20210807,Emb5,SMPD3FLAG,FOV3,0003-0826-1723,1060.03,1081.1689999999999,1146072.213,1013871.63158
368,20210807,Emb5,SMPD3FLAG,FOV3,0003-0669-1575,776.895,492.577,382680.74299999996,285791.05996999994
369,20210807,Emb5,SMPD3FLAG,FOV3,0003-0252-0690,642.02,208.804,134056.44400000002,53987.56172000003
370,20210807,Emb5,SMPD3FLAG,FOV3,0003-1887-1083,906.93,540.9580000000001,490611.48799999995,377504.61997999996
371,20210807,Emb5,SMPD3FLAG,FOV3,0003-1798-0901,724.6389999999999,756.995,548547.745,458175.116754
372,20210807,Emb5,SMPD3FLAG,FOV3,0003-1560-1134,819.2769999999999,403.07599999999996,330231.026,228055.71422200004
373,20210807,Emb5,SMPD3FLAG,FOV3,0003-1747-1495,1326.501,254.49,337581.341,172148.09528600003
374,20210807,Emb5,SMPD3FLAG,FOV3,0003-2127-2164,1024.009,841.4860000000001,861688.917,733980.658574
375,20210807,Emb5,SMPD3FLAG,FOV3,0003-1846-2059,1043.249,665.273,694045.766,563938.010214
376,20210807,Emb5,SMPD3FLAG,FOV3,0003-1227-1314,483.379,266.756,128944.11300000001,68659.98439400001
377,20210807,Emb5,SMPD3FLAG,FOV3,0003-1177-1533,605.258,1198.879,725630.74,650146.5937879999
378,20210807,Emb5,SMPD3FLAG,FOV3,0003-1347-1767,736.425,405.454,298586.369,206743.86155000003
379,20210807,Emb5,SMPD3FLAG,FOV3,0003-1075-0148,452.626,309.72700000000003,140190.40300000002,83741.60403600003
380,20210807,Emb5,SMPD3FLAG,FOV3,0003-2344-0913,785.09,347.75800000000004,273021.502,175109.78773999997
381,20210807,Emb5,SMPD3FLAG,FOV3,0003-0451-1387,621.414,231.65099999999998,143951.425,66452.399404
382,20210807,Emb2,ControlMO,FOV1,0003-1113-1605,769.363,882.99,679340.1140000001,584190.6837010001
383,20210807,Emb2,ControlMO,FOV1,0003-1021-1738,439.474,352.55400000000003,154938.268,100587.19999800003
384,20210807,Emb2,ControlMO,FOV1,0003-0573-2202,606.389,341.61199999999997,207149.978,132156.031203
385,20210807,Emb2,ControlMO,FOV1,0003-0297-1854,1118.413,259.379,290092.988,151775.497051
386,20210807,Emb2,ControlMO,FOV1,0003-0708-1567,673.3580000000001,482.056,324596.316,241320.112066
387,20210807,Emb2,ControlMO,FOV1,0003-0565-1542,524.629,482.48900000000003,253127.74300000002,188245.300683
